window,trade_size_bin,weighting,months,observed_mean_difference_pp,half_width_pp,lower_bound_pp,upper_bound_pp,zero_in_interval,family_intervals,family_alpha,target,dependence,confidence_scope,interpretation
30m,06_2500_5000,overlap_exposure,30,2.061999138167375,70.13206070563292,-68.07006156746556,72.19405984380029,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,07_5000_10000,equal_project,30,1.2735132551448747,70.13206070563292,-68.85854745048805,71.4055739607778,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,07_5000_10000,overlap_exposure,30,2.1566049197359347,70.13206070563292,-67.97545578589698,72.28866562536886,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,08_10000_25000,equal_project,30,1.0204451031780954,70.13206070563292,-69.11161560245483,71.15250580881101,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,08_10000_25000,overlap_exposure,30,1.9470878118523118,70.13206070563292,-68.18497289378061,72.07914851748524,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,09_25000_50000,equal_project,30,1.0798693628396938,70.13206070563292,-69.05219134279324,71.21193006847261,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,09_25000_50000,overlap_exposure,30,1.4419667346158567,70.13206070563292,-68.69009397101708,71.57402744024878,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,10_50000_100000,equal_project,30,1.0521374973526743,70.13206070563292,-69.07992320828025,71.1841982029856,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,10_50000_100000,overlap_exposure,30,0.9111476726729231,70.13206070563292,-69.22091303296001,71.04320837830585,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,11_100000_plus,equal_project,30,1.7422306711520543,70.13206070563292,-68.38983003448087,71.87429137678498,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,11_100000_plus,overlap_exposure,30,0.9537272418440438,70.13206070563292,-69.17833346378887,71.08578794747697,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
