window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status,restriction
30m,all_projects,07_5000_10000,overlap_exposure,,30,2.5728456157191144,0.41636395474617116,2.156481660972944,1.7904599590733523,1.7904599590733523,29,1,0,-0.09567400285759309,6.799260769927507,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,08_10000_25000,equal_project,,30,1.216736808226817,0.1897541757108556,1.0269826325159614,1.4940024012598745,1.4940024012598745,29,1,0,-0.062317836675723076,3.1101949623898064,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,08_10000_25000,overlap_exposure,,30,2.3199993928706006,0.371715794120691,1.9482835987499096,1.4940024012598745,1.4940024012598745,28,2,0,-0.13200636981200367,6.488720853861518,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,09_25000_50000,equal_project,,30,1.284854790733551,0.1897541757108556,1.0951006150226956,1.063171148015612,1.063171148015612,29,1,0,-0.011101758265619687,3.9305031186477124,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,09_25000_50000,overlap_exposure,,30,1.7641080019932762,0.32109956267953454,1.4430084393137415,1.063171148015612,1.063171148015612,30,0,0,0.047852177701681285,5.561292273007376,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,10_50000_100000,equal_project,,30,1.2039239004010476,0.1897541757108556,1.014169724690192,0.5916872150671405,0.5916872150671405,27,3,0,-0.16116635950018696,4.319906486778665,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,10_50000_100000,overlap_exposure,,30,1.2236625776825105,0.3123705537033885,0.911292023979122,0.5916872150671405,0.5916872150671405,29,1,0,-0.055976814955032136,3.9290440194364695,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,11_100000_plus,equal_project,,30,2.0677232457999595,0.1897541757108556,1.8779690700891034,0.6863330817030614,0.6863330817030614,28,2,0,-0.19491573078045502,10.772922178684007,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,11_100000_plus,overlap_exposure,,30,1.2899369857703675,0.33591242340301963,0.9540245623673477,0.6863330817030614,0.6863330817030614,29,1,0,-0.09405773559110087,2.404495699383639,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,02_100_250,equal_project,uniswap,30,0.4593809979748146,0.17271273428208492,0.2866682636927297,0.40444008923439184,0.40444008923439184,30,0,0,0.0058466220503276736,0.7643052246562788,descriptive_sensitivity_not_a_hypothesis_test,common_bins
