protocol_a,protocol_b,log_odds_difference_a_minus_b,odds_ratio_a_vs_b,ci95_low_or,ci95_high_or,t_stat,df,p_value_raw,p_value_holm_exploratory,inference_status
0x API,apeswap,-7.16095375447191,0.0007763137872731015,6.209735238688238e-05,0.009705133522530255,-5.798354961493424,29,2.7733624533223495e-06,0.0003577637564785831,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,pancakeswap,-7.66053725085868,0.0004710542684911622,0.00012465212695065097,0.0017800909562625407,-11.78502379683626,29,1.403868259741488e-12,2.4146534067553594e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,shibaswap,-7.774650758622832,0.00042025421389003064,0.00011498380973590914,0.0015359867158512808,-12.268600470128776,29,5.281796258221415e-13,9.29596141446969e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,solidly,-8.108747976072197,0.0003008953656509425,8.41329616123987e-05,0.0010761302031339851,-13.013746200665672,29,1.2322932866622057e-13,2.2674196474584585e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,supernova,-5.52833325366756,0.003972604898766479,0.0010602089624500923,0.0148853577366795,-8.559491022322272,29,1.9849966336650894e-09,2.9377950178243326e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,sushiswap,-7.625336517815688,0.00048793101841210446,0.00013555803506634287,0.001756271242882486,-12.176669719059454,29,6.34748608117538e-13,1.1108100642056916e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,swapr,-7.9777841428516885,0.0003429986170084876,7.714700460735815e-05,0.0015249853428335714,-10.935825197993392,29,8.348963912725066e-12,1.3838089940379662e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,uniswap,-7.948460336947724,0.00035320556375149925,0.00010050525427773738,0.0012412701322088834,-12.93436231245052,29,1.4348691039540482e-13,2.6114617691963676e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,verse_dex,-7.841730870132087,0.0003929882400293835,0.0001135733265550949,0.0013598241901145067,-12.92011581495597,29,1.4747052240741947e-13,2.6692164555742922e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,xchange,-6.788941943763137,0.0011261596843164798,0.00020616061674943615,0.006151687235788512,-8.177653885718588,29,5.121976645322528e-09,7.426866135717665e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,balancer,0.16903039395061847,1.1841561295599443,0.148949473517936,9.414103360395808,0.16675166532597627,29,0.8687227192522494,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,bancor,1.551354300726458,4.717855252758372,0.5376490344931869,41.39904799970735,1.4608732283050527,29,0.15480113062714163,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,curve,0.9529519747618667,2.593353886203003,0.3041855505380061,22.109808855775714,0.909445885942342,29,0.37061171462635634,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,defiswap,-0.08554301374054252,0.9180136550037298,0.10529183483531669,8.003935652668812,-0.08079289532039763,29,0.9361616664715222,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,dodo,-1.8730375355692181,0.15365621601134974,0.020032810598050108,1.1785781432598719,-1.880285113220667,29,0.07014791138157289,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,ekubo,-0.8672178514051968,0.4201187576323692,0.05008246925324532,3.52418267601948,-0.8339309226765347,29,0.41113660022791,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,fluid,2.21642623498696,9.174484756067956,1.0068082585304583,83.60198660088456,2.051509967883604,29,0.049345514248512086,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,fraxswap,0.4096619689260341,1.506308519957254,0.15883698168115662,14.284868254739624,0.37245536093102516,29,0.7122620432133353,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,kyberswap,1.263412116019704,3.537471180283003,0.2617191948820186,47.81346800709026,0.9923471071212244,29,0.3292365267154419,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,maverick,-0.75659556918975,0.469261278242899,0.054596427540057654,4.033343520445421,-0.7193278044646526,29,0.47769606928371855,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,pancakeswap,-0.49958349638677035,0.6067833345402749,0.07615108400946728,4.834941220666557,-0.4923085405237091,29,0.6262077784332698,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,shibaswap,-0.6136970041509224,0.5413458073007124,0.0694592093677753,4.219099033079683,-0.6112793689116468,29,0.5457769020631417,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,solidly,-0.9477942216002861,0.3875950299786314,0.04648572525359741,3.231742786512947,-0.9140147196466629,29,0.3682463400822982,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,supernova,1.63262050080435,5.117266965875674,0.6100330246253879,42.92623537245891,1.5699574145484376,29,0.1272732047772976,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,sushiswap,-0.46438276334377804,0.6285229328800442,0.076798103227471,5.143891067023445,-0.451799423576715,29,0.654774565868134,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,swapr,-0.8168303883797786,0.441829866519971,0.05562361168458121,3.5095461268504504,-0.8061535156607036,29,0.42671595085186365,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
