window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
24m,all_projects,06_2500_5000,valantis,8,0.0,0,0,8
24m,all_projects,06_2500_5000,verse_dex,24,4.7318461537957885,17,7,0
24m,all_projects,06_2500_5000,xchange,12,8.236434108527131,1,1,10
24m,all_projects,07_5000_10000,0x API,16,-0.0005057991703377227,0,3,13
24m,all_projects,07_5000_10000,0x-API,24,0.0,0,0,24
24m,all_projects,07_5000_10000,1inch-LOP,24,0.0,0,0,24
24m,all_projects,07_5000_10000,airswap,19,0.0,0,0,19
24m,all_projects,07_5000_10000,balancer,24,1.708872227140626,21,3,0
24m,all_projects,07_5000_10000,bancor,24,1.2627920203883354,19,1,4
24m,all_projects,07_5000_10000,carbon_defi,22,0.0,0,0,22
24m,all_projects,07_5000_10000,clipper,24,0.0,0,0,24
24m,all_projects,07_5000_10000,curve,24,0.47714494767215027,24,0,0
24m,all_projects,07_5000_10000,defiswap,23,2.4054158740349356,9,14,0
24m,all_projects,07_5000_10000,dfx,4,0.0,0,0,4
24m,all_projects,07_5000_10000,dodo,24,2.4310676596288485,23,1,0
24m,all_projects,07_5000_10000,ekubo,10,2.1802370773607174,9,0,1
24m,all_projects,07_5000_10000,eulerswap,6,0.0,0,0,6
24m,all_projects,07_5000_10000,fluid,15,0.003126576884847957,4,1,10
24m,all_projects,07_5000_10000,fraxswap,24,0.167572187992586,13,3,8
24m,all_projects,07_5000_10000,integral,21,0.0,0,0,21
24m,all_projects,07_5000_10000,kyberswap,22,-0.08567234570549255,0,6,16
24m,all_projects,07_5000_10000,mauve,1,0.0,0,0,1
24m,all_projects,07_5000_10000,maverick,24,0.8792142350126918,19,2,3
24m,all_projects,07_5000_10000,native,8,0.0,0,0,8
24m,all_projects,07_5000_10000,origin_arm,24,0.0,0,0,24
24m,all_projects,07_5000_10000,pancakeswap,24,0.8986296215593654,14,10,0
24m,all_projects,07_5000_10000,shibaswap,24,2.746043464662227,24,0,0
24m,all_projects,07_5000_10000,solidly,23,2.777630633991318,20,3,0
24m,all_projects,07_5000_10000,sushiswap,24,2.8835341145911446,16,8,0
