window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
30m,all_projects,05_1000_2500,agra,1,0.0,0,0,1
30m,all_projects,05_1000_2500,airswap,21,0.0,0,0,21
30m,all_projects,05_1000_2500,apeswap,1,-25.0,0,1,0
30m,all_projects,05_1000_2500,balancer,30,0.4644623582257336,24,6,0
30m,all_projects,05_1000_2500,bancor,30,0.13819743117014552,21,0,9
30m,all_projects,05_1000_2500,carbon_defi,30,0.0,0,0,30
30m,all_projects,05_1000_2500,clipper,25,0.0,0,0,25
30m,all_projects,05_1000_2500,curve,30,0.16122221814697768,28,2,0
30m,all_projects,05_1000_2500,defiswap,30,3.7849239180656724,25,5,0
30m,all_projects,05_1000_2500,dfx,14,0.0,0,0,14
30m,all_projects,05_1000_2500,dodo,30,1.9962290628973849,30,0,0
30m,all_projects,05_1000_2500,ekubo,16,1.3441980069016766,15,0,1
30m,all_projects,05_1000_2500,eulerswap,13,0.0,0,0,13
30m,all_projects,05_1000_2500,fluid,21,0.002414093641705651,7,2,12
30m,all_projects,05_1000_2500,fraxswap,30,0.06190777997718884,14,5,11
30m,all_projects,05_1000_2500,integral,25,0.0,0,0,25
30m,all_projects,05_1000_2500,kyberswap,30,-0.03134590564093104,1,8,21
30m,all_projects,05_1000_2500,maverick,30,0.877903296402095,18,8,4
30m,all_projects,05_1000_2500,native,14,0.0,0,0,14
30m,all_projects,05_1000_2500,origin_arm,30,0.0,0,0,30
30m,all_projects,05_1000_2500,pancakeswap,30,1.4264687611467108,23,7,0
30m,all_projects,05_1000_2500,shibaswap,30,0.8807813208302405,23,7,0
30m,all_projects,05_1000_2500,solidly,29,2.052781383622589,22,7,0
30m,all_projects,05_1000_2500,supernova,5,0.014530537063920856,4,1,0
30m,all_projects,05_1000_2500,sushiswap,30,1.147406093014859,24,6,0
30m,all_projects,05_1000_2500,swaap,28,0.0,0,0,28
30m,all_projects,05_1000_2500,swapr,1,0.0,0,0,1
30m,all_projects,05_1000_2500,uniswap,30,1.0845284928047763,29,1,0
30m,all_projects,05_1000_2500,valantis,8,0.0,0,0,8
30m,all_projects,05_1000_2500,verse_dex,30,3.5872413892656505,25,3,2
30m,all_projects,05_1000_2500,xchange,12,2.966826265389877,2,0,10
30m,all_projects,06_2500_5000,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,06_2500_5000,0x-API,30,0.0,0,0,30
30m,all_projects,06_2500_5000,1inch-LOP,30,0.0,0,0,30
30m,all_projects,06_2500_5000,agra,1,0.0,0,0,1
30m,all_projects,06_2500_5000,airswap,21,0.0,0,0,21
30m,all_projects,06_2500_5000,balancer,30,0.7908343885437609,21,9,0
30m,all_projects,06_2500_5000,bancor,30,0.7000526732046508,22,5,3
30m,all_projects,06_2500_5000,carbon_defi,30,0.0,0,0,30
30m,all_projects,06_2500_5000,clipper,25,0.0,0,0,25
30m,all_projects,06_2500_5000,curve,30,0.2576551628695666,30,0,0
30m,all_projects,06_2500_5000,defiswap,30,4.119004690621837,15,15,0
30m,all_projects,06_2500_5000,dfx,12,0.0,0,0,12
30m,all_projects,06_2500_5000,dodo,30,2.1619937145122865,28,2,0
30m,all_projects,06_2500_5000,ekubo,16,1.6357070983448194,15,0,1
30m,all_projects,06_2500_5000,eulerswap,13,0.0,0,0,13
30m,all_projects,06_2500_5000,fluid,21,0.00294443441489569,5,3,13
30m,all_projects,06_2500_5000,fraxswap,30,0.12493206945322503,9,5,16
30m,all_projects,06_2500_5000,integral,25,0.0,0,0,25
30m,all_projects,06_2500_5000,kyberswap,28,-0.09570577264250703,0,8,20
30m,all_projects,06_2500_5000,mauve,1,0.0,0,0,1
30m,all_projects,06_2500_5000,maverick,30,1.0988121257679033,24,3,3
30m,all_projects,06_2500_5000,native,14,0.0,0,0,14
30m,all_projects,06_2500_5000,origin_arm,30,0.0,0,0,30
30m,all_projects,06_2500_5000,pancakeswap,30,1.3771680895077167,21,9,0
30m,all_projects,06_2500_5000,shibaswap,30,1.1084645334565417,27,3,0
30m,all_projects,06_2500_5000,solidly,25,3.3320456615879688,22,3,0
30m,all_projects,06_2500_5000,supernova,5,0.30520169516824314,4,1,0
30m,all_projects,06_2500_5000,sushiswap,30,1.6402806225657947,24,6,0
30m,all_projects,06_2500_5000,swaap,28,0.0,0,0,28
30m,all_projects,06_2500_5000,uniswap,30,1.4274840678890226,29,1,0
30m,all_projects,06_2500_5000,valantis,8,0.0,0,0,8
30m,all_projects,06_2500_5000,verse_dex,28,5.199472222555474,18,10,0
30m,all_projects,06_2500_5000,xchange,12,8.236434108527131,1,1,10
30m,all_projects,07_5000_10000,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,07_5000_10000,0x-API,30,0.0,0,0,30
30m,all_projects,07_5000_10000,1inch-LOP,30,0.0,0,0,30
30m,all_projects,07_5000_10000,agra,1,0.0,0,0,1
30m,all_projects,07_5000_10000,airswap,19,0.0,0,0,19
30m,all_projects,07_5000_10000,balancer,30,1.3346591664669263,22,8,0
30m,all_projects,07_5000_10000,bancor,30,1.006897387760401,19,7,4
30m,all_projects,07_5000_10000,carbon_defi,26,0.0,0,0,26
30m,all_projects,07_5000_10000,clipper,25,0.0,0,0,25
30m,all_projects,07_5000_10000,curve,30,0.4205400725954715,30,0,0
30m,all_projects,07_5000_10000,defiswap,28,1.946624456303068,9,19,0
30m,all_projects,07_5000_10000,dfx,7,0.0,0,0,7
30m,all_projects,07_5000_10000,dodo,30,1.9039879573168241,25,5,0
30m,all_projects,07_5000_10000,ekubo,16,1.871553634401476,15,0,1
30m,all_projects,07_5000_10000,eulerswap,12,0.0,0,0,12
30m,all_projects,07_5000_10000,fluid,21,0.002196158321850817,6,2,13
30m,all_projects,07_5000_10000,fraxswap,30,0.26527462928690887,14,5,11
30m,all_projects,07_5000_10000,integral,25,0.0,0,0,25
30m,all_projects,07_5000_10000,kyberswap,24,-0.07853298356336817,0,6,18
30m,all_projects,07_5000_10000,mauve,1,0.0,0,0,1
30m,all_projects,07_5000_10000,maverick,30,4.286352408714729,25,2,3
30m,all_projects,07_5000_10000,native,14,0.0,0,0,14
30m,all_projects,07_5000_10000,origin_arm,30,0.0,0,0,30
30m,all_projects,07_5000_10000,pancakeswap,30,0.6612244344828518,16,14,0
30m,all_projects,07_5000_10000,shibaswap,30,2.7911521418242957,27,3,0
30m,all_projects,07_5000_10000,solidly,25,2.2835574701189767,20,5,0
30m,all_projects,07_5000_10000,supernova,5,0.30720072153936273,5,0,0
30m,all_projects,07_5000_10000,sushiswap,30,2.3276886480563186,19,11,0
30m,all_projects,07_5000_10000,swaap,28,0.0,0,0,28
30m,all_projects,07_5000_10000,uniswap,30,2.307640112194632,28,2,0
30m,all_projects,07_5000_10000,valantis,8,0.0,0,0,8
30m,all_projects,07_5000_10000,verse_dex,26,7.40421835244462,15,11,0
30m,all_projects,07_5000_10000,xchange,6,8.139534883720929,1,0,5
30m,all_projects,08_10000_25000,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,08_10000_25000,0x-API,30,0.0,0,0,30
30m,all_projects,08_10000_25000,1inch-LOP,30,0.0,0,0,30
30m,all_projects,08_10000_25000,airswap,20,0.0,0,0,20
30m,all_projects,08_10000_25000,balancer,30,0.999891136042939,22,8,0
30m,all_projects,08_10000_25000,bancor,30,0.661091576687344,11,8,11
30m,all_projects,08_10000_25000,carbon_defi,26,0.0,0,0,26
30m,all_projects,08_10000_25000,clipper,24,0.0,0,0,24
30m,all_projects,08_10000_25000,curve,30,0.5219311407502267,28,2,0
30m,all_projects,08_10000_25000,defiswap,21,1.1089561521545135,2,17,2
30m,all_projects,08_10000_25000,dfx,5,0.0,0,0,5
30m,all_projects,08_10000_25000,dodo,30,2.2119877131293615,27,3,0
30m,all_projects,08_10000_25000,ekubo,16,1.7744349829137938,15,0,1
30m,all_projects,08_10000_25000,eulerswap,13,0.0,0,0,13
30m,all_projects,08_10000_25000,fluid,21,0.0006901799512141465,6,4,11
30m,all_projects,08_10000_25000,fraxswap,30,1.467427103103088,23,3,4
30m,all_projects,08_10000_25000,integral,25,0.0,0,0,25
30m,all_projects,08_10000_25000,kyberswap,18,-0.0928788674188114,0,4,14
30m,all_projects,08_10000_25000,mauve,2,0.0,0,0,2
30m,all_projects,08_10000_25000,maverick,29,1.5305468508380802,24,2,3
30m,all_projects,08_10000_25000,native,14,0.0,0,0,14
30m,all_projects,08_10000_25000,origin_arm,30,0.0,0,0,30
30m,all_projects,08_10000_25000,pancakeswap,30,0.6756868690160851,20,10,0
30m,all_projects,08_10000_25000,shibaswap,30,4.874762520825166,23,7,0
30m,all_projects,08_10000_25000,solidly,24,1.308992187880423,17,7,0
30m,all_projects,08_10000_25000,supernova,5,0.6407380180445011,5,0,0
30m,all_projects,08_10000_25000,sushiswap,30,2.1023890873382656,15,15,0
30m,all_projects,08_10000_25000,swaap,27,0.0,0,0,27
30m,all_projects,08_10000_25000,swapr,1,-0.9950248756218906,0,1,0
30m,all_projects,08_10000_25000,uniswap,30,3.261109839880896,28,2,0
30m,all_projects,08_10000_25000,valantis,8,0.0,0,0,8
30m,all_projects,08_10000_25000,verse_dex,24,4.104962025821679,7,15,2
30m,all_projects,08_10000_25000,xchange,7,-0.425853216550891,0,2,5
30m,all_projects,09_25000_50000,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,09_25000_50000,0x-API,30,0.0,0,0,30
30m,all_projects,09_25000_50000,1inch-LOP,30,0.0,0,0,30
30m,all_projects,09_25000_50000,airswap,19,0.0,0,0,19
30m,all_projects,09_25000_50000,balancer,30,0.6628948375615057,28,2,0
30m,all_projects,09_25000_50000,bancor,24,0.3750369192827007,2,4,18
30m,all_projects,09_25000_50000,carbon_defi,11,0.0,0,0,11
30m,all_projects,09_25000_50000,clipper,22,0.0,0,0,22
30m,all_projects,09_25000_50000,curve,30,0.6903009326998854,27,3,0
30m,all_projects,09_25000_50000,defiswap,16,-0.18043544473816037,0,13,3
30m,all_projects,09_25000_50000,dodo,30,2.8344200305202967,24,6,0
30m,all_projects,09_25000_50000,ekubo,16,1.9346762822880397,11,4,1
30m,all_projects,09_25000_50000,eulerswap,13,0.0,0,0,13
30m,all_projects,09_25000_50000,fluid,21,0.0027260817180579703,6,3,12
30m,all_projects,09_25000_50000,fraxswap,27,3.537773340401001,21,5,1
30m,all_projects,09_25000_50000,integral,25,0.0,0,0,25
30m,all_projects,09_25000_50000,kyberswap,11,-0.03127773339847769,0,2,9
30m,all_projects,09_25000_50000,mauve,2,0.0,0,0,2
30m,all_projects,09_25000_50000,maverick,29,2.2314077876973073,23,3,3
30m,all_projects,09_25000_50000,native,14,0.0,0,0,14
30m,all_projects,09_25000_50000,origin_arm,30,0.0,0,0,30
30m,all_projects,09_25000_50000,pancakeswap,30,0.34463380675746613,19,11,0
30m,all_projects,09_25000_50000,shibaswap,26,9.075138861685542,15,11,0
30m,all_projects,09_25000_50000,solidly,23,0.8353243897952897,13,10,0
30m,all_projects,09_25000_50000,supernova,5,1.5879905546636677,4,1,0
30m,all_projects,09_25000_50000,sushiswap,30,0.7750907595979608,17,13,0
30m,all_projects,09_25000_50000,swaap,27,0.0,0,0,27
30m,all_projects,09_25000_50000,swapr,2,0.0,0,0,2
30m,all_projects,09_25000_50000,uniswap,30,2.421207379635667,30,0,0
30m,all_projects,09_25000_50000,valantis,8,0.0,0,0,8
30m,all_projects,09_25000_50000,verse_dex,12,1.283758228690324,1,8,3
30m,all_projects,09_25000_50000,xchange,5,0.0,0,0,5
30m,all_projects,10_50000_100000,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,10_50000_100000,0x-API,30,0.0,0,0,30
30m,all_projects,10_50000_100000,1inch-LOP,30,0.0,0,0,30
30m,all_projects,10_50000_100000,airswap,17,0.0,0,0,17
30m,all_projects,10_50000_100000,balancer,30,0.8536181980157963,30,0,0
30m,all_projects,10_50000_100000,bancor,20,-0.0021203080069866756,0,2,18
30m,all_projects,10_50000_100000,carbon_defi,7,0.0,0,0,7
30m,all_projects,10_50000_100000,clipper,20,0.0,0,0,20
30m,all_projects,10_50000_100000,curve,30,1.1302174218682384,25,5,0
30m,all_projects,10_50000_100000,defiswap,15,-0.17271507260174185,0,12,3
30m,all_projects,10_50000_100000,dodo,30,3.090930680394163,17,13,0
30m,all_projects,10_50000_100000,ekubo,16,1.4958531128355177,10,5,1
30m,all_projects,10_50000_100000,eulerswap,13,0.0,0,0,13
30m,all_projects,10_50000_100000,fluid,21,0.03090036003006822,9,3,9
30m,all_projects,10_50000_100000,fraxswap,24,5.398090159013193,12,5,7
30m,all_projects,10_50000_100000,integral,25,0.0,0,0,25
30m,all_projects,10_50000_100000,kyberswap,5,0.0,0,0,5
30m,all_projects,10_50000_100000,mauve,1,0.0,0,0,1
30m,all_projects,10_50000_100000,maverick,28,2.028790348970253,24,2,2
30m,all_projects,10_50000_100000,native,14,0.0,0,0,14
30m,all_projects,10_50000_100000,origin_arm,30,0.0,0,0,30
30m,all_projects,10_50000_100000,pancakeswap,30,0.45922147509764577,21,9,0
30m,all_projects,10_50000_100000,shibaswap,24,7.21487837760467,9,15,0
30m,all_projects,10_50000_100000,solidly,20,1.7159269196075886,11,9,0
30m,all_projects,10_50000_100000,supernova,5,0.5341216157917948,4,1,0
30m,all_projects,10_50000_100000,sushiswap,30,1.104338804556273,14,16,0
30m,all_projects,10_50000_100000,swaap,26,0.0,0,0,26
30m,all_projects,10_50000_100000,swapr,1,-2.5423728813559325,0,1,0
30m,all_projects,10_50000_100000,uniswap,30,1.6088825265330444,30,0,0
30m,all_projects,10_50000_100000,valantis,8,0.0,0,0,8
30m,all_projects,10_50000_100000,verse_dex,9,-0.07978766850064363,0,5,4
30m,all_projects,10_50000_100000,xchange,6,0.0,0,0,6
30m,all_projects,11_100000_plus,0x API,21,-0.0003853707964477887,0,3,18
30m,all_projects,11_100000_plus,0x-API,30,0.0,0,0,30
30m,all_projects,11_100000_plus,1inch-LOP,30,0.0,0,0,30
30m,all_projects,11_100000_plus,airswap,16,0.0,0,0,16
30m,all_projects,11_100000_plus,balancer,30,1.64445666166685,29,1,0
30m,all_projects,11_100000_plus,bancor,15,14.44021095850383,3,2,10
30m,all_projects,11_100000_plus,carbon_defi,4,0.0,0,0,4
30m,all_projects,11_100000_plus,clipper,8,0.0,0,0,8
30m,all_projects,11_100000_plus,curve,30,1.308222265525338,27,3,0
30m,all_projects,11_100000_plus,defiswap,12,-0.14406388737011303,0,11,1
30m,all_projects,11_100000_plus,dodo,30,0.4898402047726377,16,14,0
30m,all_projects,11_100000_plus,ekubo,16,-0.007360663232756179,6,9,1
30m,all_projects,11_100000_plus,eulerswap,12,0.0,0,0,12
30m,all_projects,11_100000_plus,fluid,21,0.2667032459841111,18,0,3
30m,all_projects,11_100000_plus,fraxswap,18,20.06820421597485,10,4,4
30m,all_projects,11_100000_plus,integral,23,0.0,0,0,23
30m,all_projects,11_100000_plus,kyberswap,1,0.0,0,0,1
30m,all_projects,11_100000_plus,maverick,28,3.704062852846586,23,2,3
30m,all_projects,11_100000_plus,native,14,0.0,0,0,14
30m,all_projects,11_100000_plus,origin_arm,30,0.0,0,0,30
30m,all_projects,11_100000_plus,pancakeswap,30,2.3479396156261654,23,7,0
30m,all_projects,11_100000_plus,shibaswap,28,2.6600642025352603,5,22,1
30m,all_projects,11_100000_plus,solidly,18,1.9353878922074164,9,9,0
30m,all_projects,11_100000_plus,supernova,5,0.11264645434248258,2,3,0
30m,all_projects,11_100000_plus,sushiswap,30,0.6769216750508164,10,20,0
30m,all_projects,11_100000_plus,swaap,25,0.0,0,0,25
30m,all_projects,11_100000_plus,swapr,1,0.0,0,0,1
30m,all_projects,11_100000_plus,uniswap,30,0.8817507281554366,29,1,0
30m,all_projects,11_100000_plus,valantis,7,0.0,0,0,7
30m,all_projects,11_100000_plus,verse_dex,17,-0.20647581011694083,0,14,3
30m,all_projects,11_100000_plus,xchange,7,-0.3174977803252526,0,2,5
30m,exclude_primary_dominant_project,02_100_250,0x API,21,-0.0003853707964477887,0,3,18
30m,exclude_primary_dominant_project,02_100_250,0x-API,30,0.0,0,0,30
30m,exclude_primary_dominant_project,02_100_250,1inch-LOP,30,0.0,0,0,30
30m,exclude_primary_dominant_project,02_100_250,agra,1,0.0,0,0,1
30m,exclude_primary_dominant_project,02_100_250,airswap,21,0.0,0,0,21
30m,exclude_primary_dominant_project,02_100_250,balancer,30,0.15394149882704153,28,2,0
30m,exclude_primary_dominant_project,02_100_250,bancor,30,0.01858145157429086,14,3,13
30m,exclude_primary_dominant_project,02_100_250,carbon_defi,30,0.0,0,0,30
30m,exclude_primary_dominant_project,02_100_250,clipper,25,0.0,0,0,25
30m,exclude_primary_dominant_project,02_100_250,curve,30,0.035832215227176833,23,7,0
30m,exclude_primary_dominant_project,02_100_250,defiswap,30,0.05962829263021595,17,11,2
30m,exclude_primary_dominant_project,02_100_250,dfx,14,0.0,0,0,14
30m,exclude_primary_dominant_project,02_100_250,dodo,30,1.206953668944425,29,0,1
30m,exclude_primary_dominant_project,02_100_250,ekubo,16,0.40512335171613784,13,2,1
30m,exclude_primary_dominant_project,02_100_250,eulerswap,12,0.0,0,0,12
30m,exclude_primary_dominant_project,02_100_250,fluid,20,0.0009709237354768255,3,3,14
30m,exclude_primary_dominant_project,02_100_250,fraxswap,30,0.24991765730430962,14,1,15
30m,exclude_primary_dominant_project,02_100_250,integral,21,0.0,0,0,21
30m,exclude_primary_dominant_project,02_100_250,kyberswap,30,0.1044446642705989,4,5,21
30m,exclude_primary_dominant_project,02_100_250,mauve,1,0.0,0,0,1
30m,exclude_primary_dominant_project,02_100_250,maverick,30,0.1521844074429465,18,10,2
30m,exclude_primary_dominant_project,02_100_250,native,14,0.0,0,0,14
30m,exclude_primary_dominant_project,02_100_250,origin_arm,30,0.0,0,0,30
30m,exclude_primary_dominant_project,02_100_250,pancakeswap,30,0.1566298856178991,20,10,0
30m,exclude_primary_dominant_project,02_100_250,shibaswap,30,1.2717293360589743,29,1,0
30m,exclude_primary_dominant_project,02_100_250,solidly,30,-0.16371927850849033,14,14,2
30m,exclude_primary_dominant_project,02_100_250,supernova,5,0.0735636784991757,2,3,0
30m,exclude_primary_dominant_project,02_100_250,sushiswap,30,0.34136320022200084,28,2,0
30m,exclude_primary_dominant_project,02_100_250,swaap,28,0.0,0,0,28
30m,exclude_primary_dominant_project,02_100_250,swapr,15,0.9841035643173336,1,5,9
30m,exclude_primary_dominant_project,02_100_250,valantis,19,0.0,0,0,19
30m,exclude_primary_dominant_project,02_100_250,verse_dex,30,0.8791802961481908,25,3,2
30m,exclude_primary_dominant_project,02_100_250,xchange,27,0.03923820461288162,1,0,26
30m,exclude_primary_dominant_project,03_250_500,0x API,22,-0.0003678539420637983,0,3,19
30m,exclude_primary_dominant_project,03_250_500,0x-API,30,0.0,0,0,30
30m,exclude_primary_dominant_project,03_250_500,1inch-LOP,30,0.0,0,0,30
30m,exclude_primary_dominant_project,03_250_500,agra,1,0.0,0,0,1
30m,exclude_primary_dominant_project,03_250_500,airswap,21,0.0,0,0,21
30m,exclude_primary_dominant_project,03_250_500,balancer,30,0.2735375974432354,26,4,0
30m,exclude_primary_dominant_project,03_250_500,bancor,30,0.03068969683899847,16,1,13
30m,exclude_primary_dominant_project,03_250_500,carbon_defi,30,0.0,0,0,30
30m,exclude_primary_dominant_project,03_250_500,clipper,25,0.0,0,0,25
30m,exclude_primary_dominant_project,03_250_500,curve,30,0.021421707213010642,17,11,2
30m,exclude_primary_dominant_project,03_250_500,defiswap,30,0.7004593695068432,26,4,0
30m,exclude_primary_dominant_project,03_250_500,dfx,13,0.0,0,0,13
30m,exclude_primary_dominant_project,03_250_500,dodo,30,1.5457707630959345,30,0,0
30m,exclude_primary_dominant_project,03_250_500,ekubo,16,0.785521679984757,13,2,1
30m,exclude_primary_dominant_project,03_250_500,eulerswap,11,0.0,0,0,11
30m,exclude_primary_dominant_project,03_250_500,fluid,20,0.0025656617280906684,3,3,14
30m,exclude_primary_dominant_project,03_250_500,fraxswap,30,0.22214920033440605,10,4,16
30m,exclude_primary_dominant_project,03_250_500,integral,25,0.0,0,0,25
30m,exclude_primary_dominant_project,03_250_500,kyberswap,30,0.04077707679537167,4,5,21
30m,exclude_primary_dominant_project,03_250_500,maverick,30,0.21208428793829087,14,15,1
30m,exclude_primary_dominant_project,03_250_500,native,14,0.0,0,0,14
30m,exclude_primary_dominant_project,03_250_500,origin_arm,30,0.0,0,0,30
30m,exclude_primary_dominant_project,03_250_500,pancakeswap,30,0.49757473996528956,24,6,0
30m,exclude_primary_dominant_project,03_250_500,shibaswap,30,1.7542924922813627,29,1,0
30m,exclude_primary_dominant_project,03_250_500,solidly,30,0.5208953043458611,18,11,1
30m,exclude_primary_dominant_project,03_250_500,supernova,5,-0.021437333652980905,0,5,0
30m,exclude_primary_dominant_project,03_250_500,sushiswap,30,0.7939665883812775,27,3,0
30m,exclude_primary_dominant_project,03_250_500,swaap,28,0.0,0,0,28
30m,exclude_primary_dominant_project,03_250_500,swapr,6,-0.6215974648573982,0,2,4
30m,exclude_primary_dominant_project,03_250_500,valantis,13,0.0,0,0,13
30m,exclude_primary_dominant_project,03_250_500,verse_dex,30,1.728791137155937,29,1,0
30m,exclude_primary_dominant_project,03_250_500,xchange,21,0.10335917312661498,1,0,20
30m,exclude_primary_dominant_project,04_500_1000,0x API,22,-0.0003678539420637983,0,3,19
30m,exclude_primary_dominant_project,04_500_1000,0x-API,30,0.0,0,0,30
30m,exclude_primary_dominant_project,04_500_1000,1inch-LOP,30,0.0,0,0,30
30m,exclude_primary_dominant_project,04_500_1000,agra,2,0.0,0,0,2
30m,exclude_primary_dominant_project,04_500_1000,airswap,21,0.0,0,0,21
30m,exclude_primary_dominant_project,04_500_1000,balancer,30,0.4074317058575281,27,3,0
30m,exclude_primary_dominant_project,04_500_1000,bancor,30,0.09629388168643031,20,1,9
30m,exclude_primary_dominant_project,04_500_1000,carbon_defi,30,0.0,0,0,30
30m,exclude_primary_dominant_project,04_500_1000,clipper,25,0.0,0,0,25
30m,exclude_primary_dominant_project,04_500_1000,curve,30,0.0638802585802775,21,9,0
30m,exclude_primary_dominant_project,04_500_1000,defiswap,30,1.6088488255780204,28,2,0
30m,exclude_primary_dominant_project,04_500_1000,dfx,14,0.0,0,0,14
30m,exclude_primary_dominant_project,04_500_1000,dodo,30,1.7536874904399586,30,0,0
30m,exclude_primary_dominant_project,04_500_1000,ekubo,16,1.1242487822868588,14,1,1
30m,exclude_primary_dominant_project,04_500_1000,eulerswap,12,0.0,0,0,12
30m,exclude_primary_dominant_project,04_500_1000,fluid,20,0.02305888199441545,9,2,9
30m,exclude_primary_dominant_project,04_500_1000,fraxswap,30,0.06937401244092233,9,6,15
30m,exclude_primary_dominant_project,04_500_1000,integral,25,0.0,0,0,25
30m,exclude_primary_dominant_project,04_500_1000,kyberswap,30,-0.009708224133091446,1,8,21
30m,exclude_primary_dominant_project,04_500_1000,maverick,30,0.34435933691182596,12,14,4
30m,exclude_primary_dominant_project,04_500_1000,native,14,0.0,0,0,14
30m,exclude_primary_dominant_project,04_500_1000,origin_arm,30,0.0,0,0,30
30m,exclude_primary_dominant_project,04_500_1000,pancakeswap,30,1.2244258946019337,22,8,0
30m,exclude_primary_dominant_project,04_500_1000,shibaswap,30,1.4176088595229897,28,2,0
30m,exclude_primary_dominant_project,04_500_1000,solidly,29,1.3045399791929901,21,8,0
30m,exclude_primary_dominant_project,04_500_1000,supernova,5,0.3977350444928239,4,1,0
30m,exclude_primary_dominant_project,04_500_1000,sushiswap,30,1.1392339874577693,26,4,0
30m,exclude_primary_dominant_project,04_500_1000,swaap,28,0.0,0,0,28
30m,exclude_primary_dominant_project,04_500_1000,swapr,4,-0.12594458438287154,0,1,3
30m,exclude_primary_dominant_project,04_500_1000,valantis,12,0.0,0,0,12
30m,exclude_primary_dominant_project,04_500_1000,verse_dex,30,4.074232708762503,29,1,0
30m,exclude_primary_dominant_project,04_500_1000,xchange,17,0.27344781241750066,1,1,15
30m,exclude_primary_dominant_project,05_1000_2500,0x API,22,-0.0003678539420637983,0,3,19
30m,exclude_primary_dominant_project,05_1000_2500,0x-API,30,0.0,0,0,30
30m,exclude_primary_dominant_project,05_1000_2500,1inch-LOP,30,0.0,0,0,30
30m,exclude_primary_dominant_project,05_1000_2500,agra,1,0.0,0,0,1
30m,exclude_primary_dominant_project,05_1000_2500,airswap,21,0.0,0,0,21
30m,exclude_primary_dominant_project,05_1000_2500,apeswap,1,-25.0,0,1,0
30m,exclude_primary_dominant_project,05_1000_2500,balancer,30,0.4644623582257336,24,6,0
30m,exclude_primary_dominant_project,05_1000_2500,bancor,30,0.13819743117014552,21,0,9
30m,exclude_primary_dominant_project,05_1000_2500,carbon_defi,30,0.0,0,0,30
30m,exclude_primary_dominant_project,05_1000_2500,clipper,25,0.0,0,0,25
30m,exclude_primary_dominant_project,05_1000_2500,curve,30,0.16122221814697768,28,2,0
30m,exclude_primary_dominant_project,05_1000_2500,defiswap,30,3.7849239180656724,25,5,0
30m,exclude_primary_dominant_project,05_1000_2500,dfx,14,0.0,0,0,14
30m,exclude_primary_dominant_project,05_1000_2500,dodo,30,1.9962290628973849,30,0,0
30m,exclude_primary_dominant_project,05_1000_2500,ekubo,16,1.3441980069016766,15,0,1
30m,exclude_primary_dominant_project,05_1000_2500,eulerswap,13,0.0,0,0,13
30m,exclude_primary_dominant_project,05_1000_2500,fluid,21,0.002414093641705651,7,2,12
30m,exclude_primary_dominant_project,05_1000_2500,fraxswap,30,0.06190777997718884,14,5,11
30m,exclude_primary_dominant_project,05_1000_2500,integral,25,0.0,0,0,25
30m,exclude_primary_dominant_project,05_1000_2500,kyberswap,30,-0.03134590564093104,1,8,21
30m,exclude_primary_dominant_project,05_1000_2500,maverick,30,0.877903296402095,18,8,4
30m,exclude_primary_dominant_project,05_1000_2500,native,14,0.0,0,0,14
30m,exclude_primary_dominant_project,05_1000_2500,origin_arm,30,0.0,0,0,30
30m,exclude_primary_dominant_project,05_1000_2500,pancakeswap,30,1.4264687611467108,23,7,0
30m,exclude_primary_dominant_project,05_1000_2500,shibaswap,30,0.8807813208302405,23,7,0
30m,exclude_primary_dominant_project,05_1000_2500,solidly,29,2.052781383622589,22,7,0
30m,exclude_primary_dominant_project,05_1000_2500,supernova,5,0.014530537063920856,4,1,0
30m,exclude_primary_dominant_project,05_1000_2500,sushiswap,30,1.147406093014859,24,6,0
30m,exclude_primary_dominant_project,05_1000_2500,swaap,28,0.0,0,0,28
30m,exclude_primary_dominant_project,05_1000_2500,swapr,1,0.0,0,0,1
30m,exclude_primary_dominant_project,05_1000_2500,valantis,8,0.0,0,0,8
30m,exclude_primary_dominant_project,05_1000_2500,verse_dex,30,3.5872413892656505,25,3,2
30m,exclude_primary_dominant_project,05_1000_2500,xchange,12,2.966826265389877,2,0,10
30m,exclude_primary_dominant_project,06_2500_5000,0x API,22,-0.0003678539420637983,0,3,19
30m,exclude_primary_dominant_project,06_2500_5000,0x-API,30,0.0,0,0,30
30m,exclude_primary_dominant_project,06_2500_5000,1inch-LOP,30,0.0,0,0,30
30m,exclude_primary_dominant_project,06_2500_5000,agra,1,0.0,0,0,1
30m,exclude_primary_dominant_project,06_2500_5000,airswap,21,0.0,0,0,21
30m,exclude_primary_dominant_project,06_2500_5000,balancer,30,0.7908343885437609,21,9,0
30m,exclude_primary_dominant_project,06_2500_5000,bancor,30,0.7000526732046508,22,5,3
30m,exclude_primary_dominant_project,06_2500_5000,carbon_defi,30,0.0,0,0,30
30m,exclude_primary_dominant_project,06_2500_5000,clipper,25,0.0,0,0,25
30m,exclude_primary_dominant_project,06_2500_5000,curve,30,0.2576551628695666,30,0,0
