window,project,version,candidate_trade_events,attacked_trade_events,unattacked_trade_events,candidate_volume_usd,attacked_volume_usd,attack_rate,share_of_all_attacks
revised-24m,curve,Factory V1 Plain,229211.0,1077,228134.0,3351640197.4071665,28949957.386212125,0.004698727373468115,0.00028690490873786614
revised-24m,curve,Factory V1 Stableswap Plain NG,1684786.0,7828,1676958.0,84704941971.75732,1704229612.2578146,0.004646287421666609,0.002085321843639755
revised-24m,curve,Factory V2,344730.0,1565,343165.0,1502895236.1112633,31079870.70080653,0.004539784759086822,0.0004169045331241973
revised-24m,fraxswap,1,155292.0,671,154621.0,999321343.3370967,14936807.721009474,0.00432089225459135,0.00017874948353120538
revised-24m,pancakeswap,2,445371.0,1841,443530.0,202975328.29967546,1059014.117487274,0.004133632409833599,0.0004904289108508929
revised-24m,curve,Factory Twocrypto,249333.0,804,248529.0,1904729063.0656767,10606096.32514257,0.003224603241448184,0.00021417970902993906
revised-24m,apeswap,1,644.0,2,642.0,1964.2507013022469,0.14164779626,0.003105590062111801,5.327853458456196e-07
revised-24m,balancer,1,555092.0,1665,553427.0,448926089.13292634,7170168.009098019,0.0029995027851239075,0.0004435438004164783
revised-24m,uniswap,1,215896.0,602,215294.0,193384025.0803869,438961.886200343,0.0027883795901730464,0.0001603683890995315
revised-24m,curve,Factory V2 updated,1627596.0,3719,1623877.0,7512174197.476082,64433857.06360775,0.00228496506504071,0.0009907143505999297
revised-24m,curve,Regular,1138422.0,2406,1136016.0,72796861955.6404,712562413.3135083,0.0021134517779874246,0.0006409407710522804
revised-24m,kyberswap,classic,63663.0,122,63541.0,32394053.99285484,21596.593528512618,0.0019163407316651745,3.2499906096582796e-05
revised-24m,bancor,1,383798.0,646,383152.0,487445366.86544496,2479374.671152556,0.0016831770879473056,0.00017208966670813512
revised-24m,xchange,1,2749.0,3,2746.0,6354461.716677123,3.878110338165797,0.0010913059294288831,7.991780187684293e-07
revised-24m,curve,Factory V1 Stableswap Plain,664722.0,657,664065.0,14166132083.709524,128832284.97431064,0.0009883831135422026,0.00017501998611028604
revised-24m,fluid,1,1425347.0,961,1424386.0,156742563933.7539,725560852.0003389,0.0006742217859931652,0.0002560033586788202
revised-24m,curve,Factory V1 Meta,123502.0,56,123446.0,2882402975.171874,3019843.9815481286,0.0004534339524865994,1.4917989683677348e-05
revised-24m,bancor,3,62940.0,12,62928.0,234536887.97580203,389984.2790959714,0.00019065776930409913,3.1967120750737174e-06
revised-24m,0x API,settler,1343062.0,5,1343057.0,3281113457.8468084,51.24730874752758,3.7228363247564146e-06,1.331963364614049e-06
revised-24m,0x-API,v2,177724.0,0,177724.0,5521728580.092295,0.0,0.0,0.0
revised-24m,0x-API,v3,23.0,0,23.0,33344.63203516077,0.0,0.0,0.0
revised-24m,0x-API,v4,1194076.0,0,1194076.0,15308761618.308285,0.0,0.0,0.0
revised-24m,1inch-LOP,2.0,86.0,0,86.0,226845.87035884953,0.0,0.0,0.0
revised-24m,1inch-LOP,3.0,135974.0,0,135974.0,2136151374.5983183,0.0,0.0,0.0
revised-24m,1inch-LOP,4.0,1362237.0,0,1362237.0,11016993220.659927,0.0,0.0,0.0
revised-24m,airswap,swap_erc20_v4,212400.0,0,212400.0,418511797.5848984,0.0,0.0,0.0
revised-24m,carbon_defi,1,23625.0,0,23625.0,10777198.941015264,0.0,0.0,0.0
revised-24m,clipper,4,129821.0,0,129821.0,459752200.17267245,0.0,0.0,0.0
revised-24m,dfx,0.5,432.0,0,432.0,895876.4294229113,0.0,0.0,0.0
revised-24m,dodo,1,111368.0,0,111368.0,24586868585.03021,0.0,0.0,0.0
revised-24m,eulerswap,1,27157.0,0,27157.0,2286330187.71752,0.0,0.0,0.0
revised-24m,integral,size,85376.0,0,85376.0,4252218521.911023,0.0,0.0,0.0
revised-24m,kyberswap,elastic,958.0,0,958.0,41098.68648622939,0.0,0.0,0.0
revised-24m,kyberswap,elastic_2,536.0,0,536.0,40111.52663796129,0.0,0.0,0.0
revised-24m,mauve,1,253.0,0,253.0,4405847.450852808,0.0,0.0,0.0
revised-24m,native,1,304220.0,0,304220.0,8248322227.987592,0.0,0.0,0.0
revised-24m,origin_arm,1,32693.0,0,32693.0,2478443099.0508943,0.0,0.0,0.0
revised-24m,pancakeswap,mmpool,4028.0,0,4028.0,37093527.757307306,0.0,0.0,0.0
revised-24m,swaap,2,307705.0,0,307705.0,5907465563.34965,0.0,0.0,0.0
revised-24m,valantis,hot,7891.0,0,7891.0,306308178.684354,0.0,0.0,0.0
