window,scope,trade_size_bin,excluded_project,month,weighting,matched_projects,matched_cells,standardized_bin_rate_pct,standardized_reference_rate_pct,standardized_difference_pp,pooled_difference_pp,matched_pooled_difference_pp,interpretation
30m,all_projects,03_250_500,,2025-03,equal_project,27,47,0.4645985100557541,0.20263762044174272,0.2619608896140113,0.9366130165673957,0.9366187922625006,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-04,overlap_exposure,26,46,1.4451513133177611,0.7285177155304493,0.716633597787312,0.705019343999906,0.7049184555313536,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-04,equal_project,26,46,0.5796012705829925,0.1896234500259004,0.3899778205570921,0.705019343999906,0.7049184555313536,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-05,overlap_exposure,29,49,1.7856194599471316,0.5018824716876029,1.2837369882595286,1.2985502588803581,1.2985002359744369,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-05,equal_project,29,49,0.44168739276297414,0.11249208949829666,0.32919530326467744,1.2985502588803581,1.2985002359744369,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-06,overlap_exposure,26,45,1.982784880427985,0.581899854161426,1.400885026266559,1.4417656741783775,1.4416738991801075,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-06,equal_project,26,45,0.6672012267444473,0.11035086303304821,0.5568503637113991,1.4417656741783775,1.4416738991801075,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-07,overlap_exposure,27,48,1.7334749094289374,0.43962850434146217,1.2938464050874752,1.3040089964857449,1.3039137100734166,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-07,equal_project,27,48,0.6061876969150116,0.16448024687668936,0.4417074500383223,1.3040089964857449,1.3039137100734166,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-08,overlap_exposure,30,49,1.5013575249283169,0.4058168896213137,1.0955406353070032,1.0633994188573213,1.0633895385746586,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-08,equal_project,30,49,0.4016258388900211,0.14034693559607944,0.2612789032939417,1.0633994188573213,1.0633895385746586,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-09,overlap_exposure,28,48,1.3860871855406776,0.3466740222656515,1.0394131632750259,1.0131377364770382,1.01320746918281,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-09,equal_project,28,48,0.5220816646216463,0.0979593084899351,0.4241223561317111,1.0131377364770382,1.01320746918281,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-10,overlap_exposure,28,47,1.160043502330484,0.3557896237240651,0.804253878606419,0.763770578187634,0.7638057762656765,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-10,equal_project,28,47,0.4862909797028986,0.18268476374552975,0.30360621595736886,0.763770578187634,0.7638057762656765,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-11,overlap_exposure,29,47,0.9595568433932969,0.36436893017681576,0.5951879132164812,0.5439915675675333,0.5440368350464999,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-11,equal_project,29,47,0.37883889521369074,0.18725768748431756,0.19158120772937315,0.5439915675675333,0.5440368350464999,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-12,overlap_exposure,29,47,1.0360672269304092,0.5744614298838085,0.4616057970466007,0.44193914881736074,0.44193011466884907,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2025-12,equal_project,29,47,0.4835781515773259,0.2158075337413685,0.2677706178359574,0.44193914881736074,0.44193011466884907,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-01,overlap_exposure,27,46,1.0787199529962985,0.6722467246404916,0.4064732283558069,0.3889175180733566,0.38872974381406666,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-01,equal_project,27,46,0.9008455023301094,0.2923475085499071,0.6084979937802023,0.3889175180733566,0.38872974381406666,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-02,overlap_exposure,28,48,0.7663711558765849,0.579534306643126,0.18683684923345883,0.16138194588296512,0.16133029941277796,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-02,equal_project,28,48,0.4150560412891197,0.44456716085256276,-0.029511119563443034,0.16138194588296512,0.16133029941277796,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-03,overlap_exposure,28,48,0.7893274815978402,0.6649429766708677,0.12438450492697249,0.07608728208988733,0.07605358309379821,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-03,equal_project,28,48,0.3216921379750492,0.35044882778121944,-0.028756689806170223,0.07608728208988733,0.07605358309379821,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-04,overlap_exposure,27,46,1.4508989634874352,0.7748064030297488,0.6760925604576865,0.6615257180896494,0.6613938815326666,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-04,equal_project,27,46,0.5313783222068301,0.42818257039495283,0.10319575181187728,0.6615257180896494,0.6613938815326666,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-05,overlap_exposure,27,46,0.9539080151828777,0.6501345605737529,0.30377345460912486,0.28028619127777243,0.2802555768576258,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-05,equal_project,27,46,0.5593498895856864,0.3489724214911703,0.2103774680945161,0.28028619127777243,0.2802555768576258,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-06,overlap_exposure,27,46,0.5299007627014855,0.4002075836394258,0.12969317906205963,0.11031549077061745,0.11025005235176626,observed_standardization_no_causal_or_significance_claim
30m,all_projects,03_250_500,,2026-06,equal_project,27,46,0.38414838002970375,0.21436878704728501,0.16977959298241874,0.11031549077061745,0.11025005235176626,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-01,overlap_exposure,23,40,3.4655740187861004,0.572121431076667,2.893452587709433,2.8507168860338092,2.8507780974551573,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-01,equal_project,23,40,0.7013738637057895,0.039889449257636295,0.6614844144481532,2.8507168860338092,2.8507780974551573,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-02,overlap_exposure,22,38,2.6178267401430966,0.4970769204308133,2.1207498197122834,2.0143426127862076,2.014322360216716,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-02,equal_project,22,38,0.4637254484475564,0.03322673732295944,0.430498711124597,2.0143426127862076,2.014322360216716,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-03,overlap_exposure,22,40,1.2263194988138097,0.20285304671926116,1.0234664520945485,1.0154601621501134,1.0154500939993938,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-03,equal_project,22,40,0.4019083754480918,0.03884709744737302,0.3630612780007188,1.0154601621501134,1.0154500939993938,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-04,overlap_exposure,23,40,3.020584909255854,0.4743474921003464,2.546237417155508,2.5132923072226374,2.5132392132548547,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-04,equal_project,23,40,0.9343167447369609,0.07937143380397445,0.8549453109329865,2.5132923072226374,2.5132392132548547,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-05,overlap_exposure,25,42,4.863704787909418,0.739369750039082,4.124335037870336,4.031482602771519,4.031457520383606,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-05,equal_project,25,42,1.1218700238633426,0.06566099400017503,1.0562090298631674,4.031482602771519,4.031457520383606,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-06,overlap_exposure,22,40,4.19926346793771,0.5926216884583888,3.606641779479321,3.614430357270642,3.6144449384357733,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-06,equal_project,22,40,1.1036354740265373,0.06681168857044098,1.0368237854560962,3.614430357270642,3.6144449384357733,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-07,overlap_exposure,23,42,4.936153282323135,0.7324786351284746,4.203674647194661,4.157605036895559,4.157551979152422,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-07,equal_project,23,42,1.1411076180576474,0.09651545792756534,1.044592160130082,4.157605036895559,4.157551979152422,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-08,overlap_exposure,22,40,3.801403349148475,0.7645815740432481,3.0368217751052273,3.0229369757117226,3.02288612071701,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-08,equal_project,22,40,0.8372993081131864,0.13902372723752773,0.6982755808756587,3.0229369757117226,3.02288612071701,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-09,overlap_exposure,25,45,3.388042296701078,0.7303956716434856,2.657646625057592,2.6435358080643003,2.6434834544875,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-09,equal_project,25,45,0.8526899830697402,0.17599905959175746,0.6766909234779828,2.6435358080643003,2.6434834544875,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-10,overlap_exposure,25,43,2.8631434446816266,0.3738522815575836,2.489291163124043,2.4614662105432425,2.4614421480664586,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-10,equal_project,25,43,0.8847807368651779,0.043407475295202946,0.8413732615699748,2.4614662105432425,2.4614421480664586,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-11,overlap_exposure,26,45,1.797114453225669,0.2332283862926488,1.5638860669330203,1.5453683936964049,1.5453598575119831,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-11,equal_project,26,45,0.849280915384996,0.07041245942583525,0.7788684559591607,1.5453683936964049,1.5453598575119831,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-12,overlap_exposure,26,47,1.1504276152970967,0.142441513944556,1.0079861013525406,1.0160561057646005,1.0160490416859993,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2024-12,equal_project,26,47,0.5832423294726482,0.024303171603671368,0.5589391578689767,1.0160561057646005,1.0160490416859993,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-01,overlap_exposure,26,46,1.6153735986719358,0.1833090970443115,1.4320645016276243,1.4336346738530719,1.4336195639542575,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-01,equal_project,26,46,0.8040365795826491,0.05874511374715035,0.7452914658354987,1.4336346738530719,1.4336195639542575,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-02,overlap_exposure,27,47,1.8344350010857522,0.45347760692015704,1.380957394165595,1.3374597272393614,1.3374238207166291,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-02,equal_project,27,47,0.6939532927424832,0.1745611639512642,0.519392128791219,1.3374597272393614,1.3374238207166291,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-03,overlap_exposure,27,46,1.4447484930755323,0.6144571625635467,0.8302913305119857,0.7978858121710999,0.7978701282741495,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-03,equal_project,27,46,0.679051220115156,0.22549998898312362,0.45355123113203233,0.7978858121710999,0.7978701282741495,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-04,overlap_exposure,26,45,1.4163268048589002,0.7095042560703959,0.7068225487885041,0.6423583027280919,0.6422566668323322,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-04,equal_project,26,45,0.8412323613150212,0.19413709730550827,0.647095264009513,0.6423583027280919,0.6422566668323322,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-05,overlap_exposure,27,47,2.1323029137519494,0.4907293988073819,1.6415735149445672,1.6010094680472737,1.6009492119206374,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-05,equal_project,27,47,0.7341547604548172,0.11626850516105254,0.6178862552937647,1.6010094680472737,1.6009492119206374,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-06,overlap_exposure,26,46,2.3914540493085097,0.5731145689114018,1.8183394803971082,1.8238356808474547,1.8237453512809438,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-06,equal_project,26,46,0.8895970331843382,0.10566201539791292,0.7839350177864253,1.8238356808474547,1.8237453512809438,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-07,overlap_exposure,29,50,1.8179704869276614,0.43376772350078774,1.3842027634268737,1.368143571261162,1.3680654126830358,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-07,equal_project,29,50,0.7486805726585759,0.1548472358715099,0.593833336787066,1.368143571261162,1.3680654126830358,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-08,overlap_exposure,29,48,1.4859487519206098,0.3966728816878311,1.0892758702327787,1.025013148987265,1.0250031426965012,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-08,equal_project,29,48,0.5559141974899059,0.14518648509939253,0.41072771239051337,1.025013148987265,1.0250031426965012,observed_standardization_no_causal_or_significance_claim
