protocol_a,protocol_b,log_odds_difference_a_minus_b,odds_ratio_a_vs_b,ci95_low_or,ci95_high_or,t_stat,df,p_value_raw,p_value_holm_exploratory,inference_status
0x API,apeswap,-7.169769938038609,0.0007694997434847024,5.988097806224373e-05,0.009888446621688918,-5.808688529250429,23,6.428573555372095e-06,0.0007778574002000236,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,shibaswap,-0.3118280373763151,0.7321074125157816,0.09471173978331353,5.659079483565593,-0.31542165355252433,23,0.7552857019017832,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,solidly,-0.5999954658750315,0.5488141244802099,0.06587401369940406,4.572318070725121,-0.5854603532631356,23,0.5639390778754011,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,sushiswap,-0.17396073525782485,0.8403298923472283,0.10257144210300741,6.884512038576473,-0.1711008043831809,23,0.8656408708968917,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,swapr,-0.6799426483726282,0.5066460485077565,0.061766133384549754,4.1558408208977,-0.6683758582822033,23,0.5105463705624119,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,uniswap,-0.5048152215615266,0.6036171005482796,0.07366561328199472,4.946047251104154,-0.4964761299945293,23,0.624270357478524,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,verse_dex,-0.44404245329408965,0.6414381890852038,0.07323369743377718,5.618219000740197,-0.4232938265113372,23,0.6760128588972114,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,xchange,0.6089407797112539,1.838483008573388,0.12961308968997584,26.077765609151,0.4749707389880693,23,0.6392871046455053,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,bancor,1.2919933178739842,3.640035076029219,2.296151192025136,5.770462938477962,5.800628657321299,23,6.555000453566438e-06,0.0007866000544279726,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,curve,0.8025507688326103,2.231225015242305,1.8000521249069132,2.765678282177785,7.731397426512993,23,7.667304479446534e-08,1.0120841912869425e-05,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,defiswap,-0.4971283968070911,0.6082748782448305,0.43657220963812066,0.847507741755846,-3.100608601273605,23,0.005040313838614843,0.4737895008297952,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,dodo,-1.372557914816816,0.25345780618935443,0.14020601947008893,0.45818902612826323,-4.79551920226516,23,7.751009134045925e-05,0.008526110047450517,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,ekubo,-1.2611244541054276,0.2833352498236111,0.22242980175250443,0.36091775094927997,-10.779450293916822,23,1.821121265100727e-10,2.8773715988591488e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,fluid,1.949032726718813,7.021892205912781,4.306352343607558,11.44982254521068,8.246142621271343,23,2.540248002645961e-08,3.4801397636249666e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,fraxswap,0.6022428870907148,1.8262101936770858,1.2873405061398855,2.590646107680003,3.562942812234112,23,0.0016534152974057308,0.16864836033538455,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,kyberswap,0.7310198777442332,2.0771980157685395,0.5687182610266936,7.586799813537617,1.1673934813922826,23,0.2550119927457971,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,maverick,-0.9237969984135904,0.3970087340489721,0.2721311703554216,0.5791910375621816,-5.05997037988913,23,4.020381626289546e-05,0.004543031237707187,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,pancakeswap,-0.4601843028157564,0.6311673088744318,0.5648543486558618,0.7052653002314074,-8.57601303533548,23,1.2749123734099118e-08,1.8103755702420748e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,shibaswap,-0.8649586650012377,0.4210689571524334,0.35576235260180483,0.4983637683436499,-10.616890294146502,23,2.4418797188090786e-10,3.760494766965981e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,solidly,-1.1531260934999543,0.31564847878169283,0.24152276110894094,0.4125241103560257,-8.911956732849562,23,6.41178506143157e-09,9.168852637847145e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,sushiswap,-0.7270913628827476,0.48331272895975025,0.40240622526028325,0.5804860345374384,-8.210087776237211,23,2.7414525235146423e-08,3.7283754319799134e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,swapr,-1.233073275997551,0.2913956608600292,0.13351875609162125,0.6359513348805206,-3.268420744761098,23,0.0033771596373091514,0.334338804093606,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,uniswap,-1.0579458491864493,0.347168214256758,0.30194823172659335,0.39916037362112894,-15.682317664492738,23,8.976019217571194e-14,1.6515875360330998e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,verse_dex,-0.9971730809190124,0.36892087791834777,0.2884485125968162,0.47184370249911534,-8.383169909953882,23,1.9043493511762575e-08,2.6280021046232355e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,xchange,0.05581015208633122,1.0573969200807365,0.2659122779851414,4.204725915885327,0.08363675959434314,23,0.9340689306331043,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,curve,-0.48944254904137385,0.6129679985601311,0.41781237395473414,0.8992786970438541,-2.641641504094205,23,0.014580956627736074,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,defiswap,-1.7891217146810754,0.16710687274705474,0.1050435654788707,0.2658392905076832,-7.972026620970944,23,4.554621984210675e-08,6.103193458842305e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,dodo,-2.6645512326908003,0.06963059445730459,0.03249256092755715,0.14921629893338573,-7.2318232657109585,23,2.3170049418509418e-07,2.9889363749877148e-05,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,ekubo,-2.553117771979412,0.07783860427320144,0.051754008616054226,0.1170701261065328,-12.940616534027548,23,4.8315332002101725e-12,8.600129096374107e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,fluid,0.6570394088448288,1.929072676292094,0.9796235246306861,3.798726037964088,2.005809804238307,23,0.056778495809757294,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,fraxswap,-0.6897504307832694,0.5017012626343238,0.31760974983457163,0.7924950574092132,-3.1209874525374186,23,0.0048024900679269605,0.4610390465209882,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,kyberswap,-0.560973440129751,0.5706532965705591,0.2156946291221365,1.509751013329362,-1.1927641948027492,23,0.2451219296216348,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,maverick,-2.2157903162875745,0.10906728252796245,0.08337496321973753,0.1426767899936932,-17.064121831805817,23,1.4919429748195968e-14,2.789933362912646e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,pancakeswap,-1.7521776206897406,0.17339594143772624,0.10977173119203176,0.27389704234944107,-7.928383191441022,23,5.0029665123719705e-08,6.653945461454721e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,shibaswap,-2.156951982875222,0.11567717023533798,0.07827350925942729,0.17095448818201192,-11.423611958869788,23,5.864776937117486e-11,9.559586407501502e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,solidly,-2.4451194113739385,0.08671577943309881,0.06064482913686708,0.1239945187366111,-14.144557485730902,23,7.777506534700694e-13,1.3999511762461248e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,sushiswap,-2.0190846807567318,0.1327769427669852,0.09410551462528194,0.18733988757988204,-12.132888808875158,23,1.7735157574996173e-11,3.0327119453243456e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,swapr,-2.525066593871535,0.08005298157123864,0.028922137596608898,0.22157697843178997,-5.130727609006882,23,3.374843637922611e-05,0.003847321747231777,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,uniswap,-2.3499391670604335,0.09537496397849854,0.06298138933954574,0.14442970930443283,-11.714435878379664,23,3.568738115569557e-11,5.888417890689769e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,verse_dex,-2.2891663987929967,0.1013509128930675,0.06815183067292478,0.15072240089273195,-11.932698072909329,23,2.4725304771054607e-11,4.178576506308229e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,xchange,-1.236183165787653,0.29049086011396685,0.07765137154001257,1.0867153810189942,-1.9382676880399203,23,0.06496030614147445,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,defiswap,-1.2996791656397013,0.27261924462547926,0.1990448744530779,0.37338943162631966,-8.547534492871078,23,1.3523248887547333e-08,1.906778093144174e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,dodo,-2.1751086836494267,0.11359580699297132,0.057398118684084246,0.22481585916443128,-6.59145031115418,23,1.0027982399427672e-06,0.00012635257823278868,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,ekubo,-2.0636752229380377,0.12698640786475843,0.10754356680284631,0.14994432732510035,-25.688616191457072,23,1.9405268372685125e-18,3.6675957224374884e-16,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,fluid,1.1464819578862027,3.1471017750086596,2.0059675000302954,4.9373928451548075,5.2662369752832054,23,2.4158000156642983e-05,0.0028506440184838723,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,fraxswap,-0.2003078817418955,0.8184787196278205,0.5655305145890864,1.1845645764496902,-1.120874543770951,23,0.2739086929365841,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,kyberswap,-0.07153089108837718,0.9309675185507732,0.26637396188752877,3.253698351201953,-0.11825316022326178,23,0.9068937707856752,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,maverick,-1.7263477672462009,0.17793307772047276,0.1288926986346718,0.24563206824318362,-11.076056629120965,23,1.0746612599548465e-10,1.7217863380747803e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,pancakeswap,-1.2627350716483667,0.28287927240090077,0.2251226975471821,0.35545364206242225,-11.438076552884349,23,5.720432081430086e-11,9.38150861354534e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,shibaswap,-1.667509433833848,0.18871649173703195,0.15216108054161587,0.23405403094382524,-16.021400969970653,23,5.709745350369294e-14,1.0563028898183194e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,solidly,-1.9556768623325647,0.1414686894532752,0.11352082750240583,0.1762970772495741,-18.381513597476033,23,3.0177210732621397e-15,5.673315617732823e-13,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,sushiswap,-1.529642131715358,0.21661317243131745,0.17972517553833625,0.26107230848552504,-16.950040354277068,23,1.7219345919553662e-14,3.202798341036981e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,swapr,-2.0356240448301612,0.13059895746480077,0.05637447013975983,0.3025498536590859,-5.012420916438483,23,4.522920413222096e-05,0.005065670862808748,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,uniswap,-1.8604966180190596,0.15559533972823286,0.13772825974717964,0.1757802631760906,-31.553165626691662,23,1.9441633115962185e-20,3.693910292032815e-18,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,verse_dex,-1.7997238497516226,0.16534454185396627,0.13016997598234198,0.21002398836277436,-15.565062819166325,23,1.0515994585889362e-13,1.9244270092177533e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,xchange,-0.7467406167462791,0.47390868821265264,0.12346912263996178,1.8189927972384166,-1.148493386850362,23,0.2625698115701844,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,dodo,-0.8754295180097251,0.4166830083805264,0.2042475928616866,0.850069893311408,-2.539946971306125,23,0.018302889172777916,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,ekubo,-0.7639960572983365,0.4658013341619029,0.3371568543206998,0.6435309860277332,-4.889828845024776,23,6.130979326673991e-05,0.00680538705260813,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,fluid,2.446161123525904,11.54394576704263,7.599380637453057,17.535992764416207,12.103176056874059,23,1.8626943642422653e-11,3.166580419211851e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,fraxswap,1.0993712838978058,3.0022778500183867,1.9592056719369653,4.60067690586036,5.328142943323309,23,2.0745063416758687e-05,0.0024686625465942837,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,kyberswap,1.2281482745513244,3.414900220377781,0.9595009445981141,12.153759285792722,2.001290098631941,23,0.05729605300381786,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,maverick,-0.42666860160649933,0.6526798134332553,0.4027967541223478,1.0575828491752843,-1.8287017171954858,23,0.08044240304301148,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,pancakeswap,0.03694409399133469,1.0376350091847573,0.7197662795449556,1.4958833761516928,0.20894029268232156,23,0.8363342923492265,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,shibaswap,-0.3678302681941467,0.6922346659579671,0.5004789011334173,0.9574606075675435,-2.3458992967705203,23,0.027970460864086166,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,solidly,-0.6559976966928631,0.5189240753990902,0.359278823315513,0.7495075650265123,-3.6910160235377902,23,0.0012076963871781707,0.12560042426652976,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,sushiswap,-0.22996296607565647,0.7945630277455202,0.5900248458076335,1.0700064743815243,-1.598354908706135,23,0.1236127294887567,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,swapr,-0.7359448791904598,0.4790525982280375,0.21237765832364022,1.0805816095745524,-1.8715700264014339,23,0.07403950150437409,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,uniswap,-0.5608174523793582,0.5707423184375252,0.4126311382972898,0.7894382265953704,-3.5764407248678673,23,0.0015997131402196827,0.1647704534426273,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,verse_dex,-0.5000446841119213,0.6065035580342629,0.4268741891572771,0.8617212641373627,-2.945212455140893,23,0.007264924112833777,0.6611080942678736,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,xchange,0.5529385488934223,1.7383537573207724,0.4560495534361683,6.6261961289568685,0.8548292899658038,23,0.4014625811885163,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,ekubo,0.11143346071138854,1.1178793586335065,0.544491501528733,2.2950849681772585,0.32045879349602807,23,0.7515138917947386,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,fluid,3.321590641535629,27.70438327185249,11.93119942575535,64.32989887142953,8.156407272840946,23,3.071907687613379e-08,4.147075378278062e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,fraxswap,1.974800801907531,7.205184251901684,3.7940467731445215,13.683194543441262,6.3694933972136045,23,1.6862886372498868e-06,0.00020909979101898596,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,kyberswap,2.1035777925610493,8.195439102856815,1.8395492481884756,36.51178252214584,2.9125940677297835,23,0.007838792709506543,0.6976525511460823,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,maverick,0.44876091640322574,1.5663701190263322,0.7549713103524276,3.2498126963701996,1.2719735902009452,23,0.21609352462948744,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,pancakeswap,0.9123736120010597,2.4902263550837196,1.4328219209890527,4.327981871796703,3.4146804587293405,23,0.0023725622375980653,0.2396287859974046,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,shibaswap,0.5075992498155784,1.6612980420017494,0.9479214906361826,2.9115398391343312,1.8714688198278457,23,0.07405407973728205,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,solidly,0.21943182131686195,1.2453689374470351,0.6530430467577287,2.3749487848591078,0.7031732473760386,23,0.48900515698739844,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,sushiswap,0.6454665519340685,1.9068764786777754,1.0257085884493555,3.54503993227906,2.1533400685649258,23,0.04201258383197762,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,swapr,0.1394846388192653,1.1496811451225615,0.4757436498781628,2.778317137367628,0.32701585670412453,23,0.746613444083014,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,uniswap,0.31461206563036687,1.3697278433689037,0.713586681563609,2.629189155813564,0.9981002103456204,23,0.32861641862739077,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,verse_dex,0.3753848338978038,1.4555514523894075,0.7490351630795896,2.828478735020075,1.1688685229318074,23,0.2544290004863978,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,xchange,1.4283680669031473,4.17188539575211,0.8992435016724412,19.35474398527214,1.9254940827832951,23,0.06661938142575584,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
ekubo,fluid,3.2101571808242406,24.78298132789416,15.542007533638861,39.51845745598789,14.231813933654667,23,6.846348849980305e-13,1.2391891418464352e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
ekubo,fraxswap,1.8633673411961424,6.44540414513896,4.432422043810947,9.372580991510475,10.295008248331506,23,4.404433167463912e-10,6.694738414545147e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
ekubo,kyberswap,1.9921443318496608,7.3312375253756406,2.0493079733990824,26.226923601106414,3.2331148547295103,23,0.003675623254893386,0.35653545572465845,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
ekubo,maverick,0.3373274556918372,1.401197818824618,0.9912902771764774,1.9806058555029433,2.016367386682804,23,0.05558565764900195,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
ekubo,pancakeswap,0.8009401512896712,2.227634257535417,1.7140958452364234,2.895027369173115,6.32262176570098,23,1.8833148225014651e-06,0.0002316477231676802,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
ekubo,shibaswap,0.3961657891041898,1.4861156789159402,1.1277304233543397,1.958393393831364,2.969761490401816,23,0.006859740028776091,0.6310960826474004,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
