window,scope,trade_size_bin,weighting,calendar_half,months,mean_difference_pp,months_positive,months_negative
24m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2024-H2,6,0.8799838424575227,6,0
24m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2025-H1,6,0.5805835136220584,6,0
24m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2025-H2,6,0.6961204708188476,6,0
24m,exclude_primary_dominant_project,06_2500_5000,equal_project,2024-H1,6,1.7777964204736276,6,0
24m,exclude_primary_dominant_project,06_2500_5000,equal_project,2024-H2,6,0.8672722272754134,6,0
24m,exclude_primary_dominant_project,06_2500_5000,equal_project,2025-H1,6,1.4706981828723362,6,0
24m,exclude_primary_dominant_project,06_2500_5000,equal_project,2025-H2,6,0.76295169949463,6,0
24m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2024-H1,6,1.8152874804134977,6,0
24m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2024-H2,6,0.7471152006577483,6,0
24m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2025-H1,6,0.5480446564436191,6,0
24m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2025-H2,6,0.652906188561546,6,0
24m,exclude_primary_dominant_project,07_5000_10000,equal_project,2024-H1,6,1.7700084884711516,6,0
24m,exclude_primary_dominant_project,07_5000_10000,equal_project,2024-H2,6,1.6932244931166134,6,0
24m,exclude_primary_dominant_project,07_5000_10000,equal_project,2025-H1,6,0.8433102229231375,6,0
24m,exclude_primary_dominant_project,07_5000_10000,equal_project,2025-H2,6,0.5923563277434521,6,0
24m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2024-H1,6,1.717736763046825,6,0
24m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2024-H2,6,0.7883442271520186,6,0
24m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2025-H1,6,0.5509928028330164,6,0
24m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2025-H2,6,0.6230526569166037,6,0
24m,exclude_primary_dominant_project,08_10000_25000,equal_project,2024-H1,6,1.7437689443516107,6,0
24m,exclude_primary_dominant_project,08_10000_25000,equal_project,2024-H2,6,1.0701994697542998,6,0
24m,exclude_primary_dominant_project,08_10000_25000,equal_project,2025-H1,6,1.0683848116755803,6,0
24m,exclude_primary_dominant_project,08_10000_25000,equal_project,2025-H2,6,0.5632127663207986,6,0
24m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2024-H1,6,2.0653295659426396,6,0
24m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2024-H2,6,0.8133512652839548,6,0
24m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2025-H1,6,0.6424347444260944,6,0
24m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2025-H2,6,0.6769892799170649,6,0
24m,exclude_primary_dominant_project,09_25000_50000,equal_project,2024-H1,6,1.9272393790044529,6,0
24m,exclude_primary_dominant_project,09_25000_50000,equal_project,2024-H2,6,0.9974774050832047,6,0
24m,exclude_primary_dominant_project,09_25000_50000,equal_project,2025-H1,6,0.8097805288052631,6,0
24m,exclude_primary_dominant_project,09_25000_50000,equal_project,2025-H2,6,0.41440654594350224,6,0
24m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2024-H1,6,2.6153505901197924,6,0
24m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2024-H2,6,1.025404456544633,6,0
24m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2025-H1,6,0.9202007264335714,6,0
24m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2025-H2,6,0.7719037271576211,6,0
24m,exclude_primary_dominant_project,10_50000_100000,equal_project,2024-H1,6,2.418333400224792,6,0
24m,exclude_primary_dominant_project,10_50000_100000,equal_project,2024-H2,6,1.2410569532179399,6,0
24m,exclude_primary_dominant_project,10_50000_100000,equal_project,2025-H1,6,1.13343052220198,6,0
24m,exclude_primary_dominant_project,10_50000_100000,equal_project,2025-H2,6,0.3387804015454205,5,1
24m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2024-H1,6,2.6602143293433076,6,0
24m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2024-H2,6,1.197462076539512,6,0
24m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2025-H1,6,0.8515935247785403,6,0
24m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2025-H2,6,0.7085897607163627,6,0
24m,exclude_primary_dominant_project,11_100000_plus,equal_project,2024-H1,6,3.033279851389867,6,0
24m,exclude_primary_dominant_project,11_100000_plus,equal_project,2024-H2,6,2.998109617940774,6,0
24m,exclude_primary_dominant_project,11_100000_plus,equal_project,2025-H1,6,1.5086406465090325,6,0
24m,exclude_primary_dominant_project,11_100000_plus,equal_project,2025-H2,6,1.4193789493664182,6,0
24m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2024-H1,6,2.4377846430722427,6,0
24m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2024-H2,6,1.2510952801394162,6,0
24m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2025-H1,6,1.2055752283273369,6,0
24m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2025-H2,6,0.6642652555962908,5,1
30m,all_projects,02_100_250,equal_project,2024-H1,6,0.09637311281012335,6,0
30m,all_projects,02_100_250,equal_project,2024-H2,6,0.4025202149098464,6,0
30m,all_projects,02_100_250,equal_project,2025-H1,6,0.23676083114866933,6,0
30m,all_projects,02_100_250,equal_project,2025-H2,6,0.16306648427783252,6,0
30m,all_projects,02_100_250,equal_project,2026-H1,6,0.1625986208326737,6,0
30m,all_projects,02_100_250,overlap_exposure,2024-H1,6,0.8061097015545573,6,0
30m,all_projects,02_100_250,overlap_exposure,2024-H2,6,0.8830525028684555,6,0
30m,all_projects,02_100_250,overlap_exposure,2025-H1,6,0.7085019127119382,6,0
30m,all_projects,02_100_250,overlap_exposure,2025-H2,6,0.6494627236234977,6,0
30m,all_projects,02_100_250,overlap_exposure,2026-H1,6,0.36281433788012935,6,0
30m,all_projects,03_250_500,equal_project,2024-H1,6,0.4086987243990381,6,0
30m,all_projects,03_250_500,equal_project,2024-H2,6,0.584817813543138,6,0
30m,all_projects,03_250_500,equal_project,2025-H1,6,0.3626973915910913,6,0
30m,all_projects,03_250_500,equal_project,2025-H2,6,0.3150111251644458,6,0
30m,all_projects,03_250_500,equal_project,2026-H1,6,0.17226383288323355,4,2
30m,all_projects,03_250_500,overlap_exposure,2024-H1,6,1.7580484199801438,6,0
30m,all_projects,03_250_500,overlap_exposure,2024-H2,6,1.6967193854735978,6,0
30m,all_projects,03_250_500,overlap_exposure,2025-H1,6,1.089084715021918,6,0
30m,all_projects,03_250_500,overlap_exposure,2025-H2,6,0.8816412987565009,6,0
30m,all_projects,03_250_500,overlap_exposure,2026-H1,6,0.3045422961075182,6,0
30m,all_projects,04_500_1000,equal_project,2024-H1,6,0.7338370883042865,6,0
30m,all_projects,04_500_1000,equal_project,2024-H2,6,0.7664565899803059,6,0
30m,all_projects,04_500_1000,equal_project,2025-H1,6,0.6278585604747421,6,0
30m,all_projects,04_500_1000,equal_project,2025-H2,6,0.4840060993442335,6,0
30m,all_projects,04_500_1000,equal_project,2026-H1,6,0.3624891381048317,6,0
30m,all_projects,04_500_1000,overlap_exposure,2024-H1,6,2.7191471823369047,6,0
30m,all_projects,04_500_1000,overlap_exposure,2024-H2,6,2.493217729794514,6,0
30m,all_projects,04_500_1000,overlap_exposure,2025-H1,6,1.3016747950725642,6,0
30m,all_projects,04_500_1000,overlap_exposure,2025-H2,6,0.8403308722948742,6,0
30m,all_projects,04_500_1000,overlap_exposure,2026-H1,6,0.32813805794607803,5,1
30m,all_projects,05_1000_2500,equal_project,2024-H1,6,1.1503561870322019,6,0
30m,all_projects,05_1000_2500,equal_project,2024-H2,6,0.8790673303539642,6,0
30m,all_projects,05_1000_2500,equal_project,2025-H1,6,1.030337205895959,6,0
30m,all_projects,05_1000_2500,equal_project,2025-H2,6,0.46535284364518503,5,1
30m,all_projects,05_1000_2500,equal_project,2026-H1,6,0.21867676285461357,5,1
30m,all_projects,05_1000_2500,overlap_exposure,2024-H1,6,3.9188462763631216,6,0
30m,all_projects,05_1000_2500,overlap_exposure,2024-H2,6,3.0930566122164707,6,0
30m,all_projects,05_1000_2500,overlap_exposure,2025-H1,6,1.1641802832909711,6,0
30m,all_projects,05_1000_2500,overlap_exposure,2025-H2,6,0.5477150330178475,6,0
30m,all_projects,05_1000_2500,overlap_exposure,2026-H1,6,0.20403386067525267,5,1
30m,all_projects,06_2500_5000,equal_project,2024-H1,6,1.843532318646779,6,0
30m,all_projects,06_2500_5000,equal_project,2024-H2,6,0.9259437415899479,6,0
30m,all_projects,06_2500_5000,equal_project,2025-H1,6,1.4596848998585512,6,0
30m,all_projects,06_2500_5000,equal_project,2025-H2,6,0.7446857558288996,6,0
30m,all_projects,06_2500_5000,equal_project,2026-H1,6,0.40215328965293845,5,1
30m,all_projects,06_2500_5000,overlap_exposure,2024-H1,6,5.266831126957527,6,0
30m,all_projects,06_2500_5000,overlap_exposure,2024-H2,6,2.9895562661186106,6,0
30m,all_projects,06_2500_5000,overlap_exposure,2025-H1,6,1.3816627768465441,6,0
30m,all_projects,06_2500_5000,overlap_exposure,2025-H2,6,0.49742075901646615,6,0
30m,all_projects,06_2500_5000,overlap_exposure,2026-H1,6,0.1745247618977276,5,1
30m,all_projects,07_5000_10000,equal_project,2024-H1,6,1.8730640905674365,6,0
30m,all_projects,07_5000_10000,equal_project,2024-H2,6,1.7495749826655116,6,0
30m,all_projects,07_5000_10000,equal_project,2025-H1,6,0.9073786191198848,6,0
30m,all_projects,07_5000_10000,equal_project,2025-H2,6,0.5996653423665135,6,0
30m,all_projects,07_5000_10000,equal_project,2026-H1,6,1.237883241005026,6,0
30m,all_projects,07_5000_10000,overlap_exposure,2024-H1,6,5.987575171642945,6,0
30m,all_projects,07_5000_10000,overlap_exposure,2024-H2,6,2.940832763490137,6,0
30m,all_projects,07_5000_10000,overlap_exposure,2025-H1,6,1.1514834413651525,6,0
30m,all_projects,07_5000_10000,overlap_exposure,2025-H2,6,0.5779606003107133,6,0
30m,all_projects,07_5000_10000,overlap_exposure,2026-H1,6,0.12517262187072747,5,1
30m,all_projects,08_10000_25000,equal_project,2024-H1,6,1.904642987133424,6,0
30m,all_projects,08_10000_25000,equal_project,2024-H2,6,1.260388890663567,6,0
30m,all_projects,08_10000_25000,equal_project,2025-H1,6,1.217572338635792,6,0
30m,all_projects,08_10000_25000,equal_project,2025-H2,6,0.5509033638339041,6,0
30m,all_projects,08_10000_25000,equal_project,2026-H1,6,0.16871793562379014,5,1
30m,all_projects,08_10000_25000,overlap_exposure,2024-H1,6,5.943265589796156,6,0
30m,all_projects,08_10000_25000,overlap_exposure,2024-H2,6,2.5337623999351186,6,0
30m,all_projects,08_10000_25000,overlap_exposure,2025-H1,6,0.6957441581416673,6,0
30m,all_projects,08_10000_25000,overlap_exposure,2025-H2,6,0.4977607957595838,6,0
30m,all_projects,08_10000_25000,overlap_exposure,2026-H1,6,0.06490611562903262,4,2
30m,all_projects,09_25000_50000,equal_project,2024-H1,6,2.093170681676686,6,0
30m,all_projects,09_25000_50000,equal_project,2024-H2,6,1.2099485577009714,6,0
30m,all_projects,09_25000_50000,equal_project,2025-H1,6,0.8017405313769775,6,0
30m,all_projects,09_25000_50000,equal_project,2025-H2,6,0.4132028275558685,6,0
30m,all_projects,09_25000_50000,equal_project,2026-H1,6,0.8812842158879652,4,2
30m,all_projects,09_25000_50000,overlap_exposure,2024-H1,6,4.231350252718099,6,0
30m,all_projects,09_25000_50000,overlap_exposure,2024-H2,6,1.9081074080336862,6,0
30m,all_projects,09_25000_50000,overlap_exposure,2025-H1,6,0.43852149531139023,6,0
30m,all_projects,09_25000_50000,overlap_exposure,2025-H2,6,0.4350591229067937,6,0
30m,all_projects,09_25000_50000,overlap_exposure,2026-H1,6,0.19679539410931388,6,0
30m,all_projects,10_50000_100000,equal_project,2024-H1,6,2.5086823698641623,6,0
30m,all_projects,10_50000_100000,equal_project,2024-H2,6,1.2567378183537852,6,0
30m,all_projects,10_50000_100000,equal_project,2025-H1,6,1.1298601219429238,6,0
30m,all_projects,10_50000_100000,equal_project,2025-H2,6,0.35454341415852864,6,0
30m,all_projects,10_50000_100000,equal_project,2026-H1,6,0.010863762443972963,3,3
30m,all_projects,10_50000_100000,overlap_exposure,2024-H1,6,2.469604126149529,6,0
30m,all_projects,10_50000_100000,overlap_exposure,2024-H2,6,0.8870960858658691,6,0
30m,all_projects,10_50000_100000,overlap_exposure,2025-H1,6,0.44368922077698264,6,0
30m,all_projects,10_50000_100000,overlap_exposure,2025-H2,6,0.5480545444856718,6,0
30m,all_projects,10_50000_100000,overlap_exposure,2026-H1,6,0.2072943860865608,5,1
30m,all_projects,11_100000_plus,equal_project,2024-H1,6,2.985087991249635,6,0
30m,all_projects,11_100000_plus,equal_project,2024-H2,6,2.8975141151718358,6,0
30m,all_projects,11_100000_plus,equal_project,2025-H1,6,1.4548890338498275,6,0
30m,all_projects,11_100000_plus,equal_project,2025-H2,6,1.365498468161152,6,0
30m,all_projects,11_100000_plus,equal_project,2026-H1,6,0.008163747327818572,4,2
30m,all_projects,11_100000_plus,overlap_exposure,2024-H1,6,2.0718037880877778,6,0
30m,all_projects,11_100000_plus,overlap_exposure,2024-H2,6,0.9364032143328167,6,0
30m,all_projects,11_100000_plus,overlap_exposure,2025-H1,6,0.7212375892486859,6,0
30m,all_projects,11_100000_plus,overlap_exposure,2025-H2,6,0.6973440334385118,6,0
30m,all_projects,11_100000_plus,overlap_exposure,2026-H1,6,0.3418475841124273,5,1
30m,exclude_primary_dominant_project,02_100_250,equal_project,2024-H1,6,0.08112830259058904,6,0
30m,exclude_primary_dominant_project,02_100_250,equal_project,2024-H2,6,0.39718151838848303,6,0
30m,exclude_primary_dominant_project,02_100_250,equal_project,2025-H1,6,0.2257138504475712,6,0
30m,exclude_primary_dominant_project,02_100_250,equal_project,2025-H2,6,0.15209483891084663,6,0
30m,exclude_primary_dominant_project,02_100_250,equal_project,2026-H1,6,0.1592159568931917,6,0
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2024-H1,6,0.21700810937977358,5,1
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2024-H2,6,0.47665943529762833,6,0
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2025-H1,6,0.3786224911293646,6,0
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2025-H2,6,0.29112411845972863,6,0
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2026-H1,6,0.5399526140897962,6,0
30m,exclude_primary_dominant_project,03_250_500,equal_project,2024-H1,6,0.3851104588435366,6,0
30m,exclude_primary_dominant_project,03_250_500,equal_project,2024-H2,6,0.5678972883326933,6,0
30m,exclude_primary_dominant_project,03_250_500,equal_project,2025-H1,6,0.3512339200223566,6,0
30m,exclude_primary_dominant_project,03_250_500,equal_project,2025-H2,6,0.303419019240035,6,0
30m,exclude_primary_dominant_project,03_250_500,equal_project,2026-H1,6,0.17197353640278545,4,2
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2024-H1,6,0.8230884522018761,6,0
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2024-H2,6,0.9778630836277024,6,0
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2025-H1,6,0.5723824610415079,6,0
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2025-H2,6,0.48332692628047674,6,0
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2026-H1,6,0.3696339773507338,6,0
30m,exclude_primary_dominant_project,04_500_1000,equal_project,2024-H1,6,0.69897721717313,6,0
30m,exclude_primary_dominant_project,04_500_1000,equal_project,2024-H2,6,0.7403077034702529,6,0
30m,exclude_primary_dominant_project,04_500_1000,equal_project,2025-H1,6,0.621130708656969,6,0
30m,exclude_primary_dominant_project,04_500_1000,equal_project,2025-H2,6,0.4800056691709489,6,0
30m,exclude_primary_dominant_project,04_500_1000,equal_project,2026-H1,6,0.3678561633641397,6,0
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2024-H1,6,1.2550493529832094,6,0
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2024-H2,6,1.041198076204479,6,0
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2025-H1,6,0.6499638341976716,6,0
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2025-H2,6,0.6489655136139632,6,0
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2026-H1,6,0.21800677580646557,5,1
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,2024-H1,6,1.1001500338537304,6,0
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,2024-H2,6,0.8375224223843514,6,0
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,2025-H1,6,1.040165683329558,6,0
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,2025-H2,6,0.46643398619793075,5,1
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,2026-H1,6,0.22209716060815712,5,1
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2024-H1,6,1.5301133154907685,6,0
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2024-H2,6,0.8799838424575227,6,0
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2025-H1,6,0.5805835136220584,6,0
