sample,excluded_project,trade_size_bin,trade_size,full_log_odds,loo_log_odds,log_odds_change_loo_minus_full,full_odds_ratio_vs_under_100,loo_odds_ratio_vs_under_100,OR_ratio_loo_vs_full,covariance_valid,status
24m_primary_all_project_versions,bancor,09_25000_50000,$25k–50k,1.8699601737307865,1.8696404145384908,-0.0003197591922956544,6.488037999793154,6.485963721655182,0.9996802919252263,True,ok
24m_primary_all_project_versions,bancor,10_50000_100000,$50k–100k,1.613626568679092,1.6133076195059866,-0.0003189491731054872,5.020987204633078,5.019386020277775,0.9996811016857747,True,ok
24m_primary_all_project_versions,bancor,11_100000_plus,≥$100k,1.7461015254186734,1.7456742546077033,-0.0004272708109700485,5.732212176502031,5.729763492719531,0.9995728204562039,True,ok
24m_primary_all_project_versions,carbon_defi,02_100_250,$100–250,0.8273084816202131,0.8273084816202196,6.5503158452884236e-15,2.287154529987947,2.2871545299879616,1.0000000000000067,True,ok
24m_primary_all_project_versions,carbon_defi,03_250_500,$250–500,1.205295906884678,1.2052959068846896,1.1546319456101628e-14,3.337746594150325,3.3377465941503637,1.0000000000000115,True,ok
24m_primary_all_project_versions,carbon_defi,04_500_1000,$500–1k,1.460651348536876,1.4606513485368784,2.4424906541753444e-15,4.30876512239444,4.30876512239445,1.0000000000000024,True,ok
24m_primary_all_project_versions,carbon_defi,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6237987659614572,6.661338147750939e-16,5.072322329889904,5.072322329889907,1.0000000000000007,True,ok
24m_primary_all_project_versions,carbon_defi,06_2500_5000,$2.5k–5k,1.820145693432597,1.8201456934325937,-3.3306690738754696e-15,6.172757714633513,6.172757714633493,0.9999999999999967,True,ok
24m_primary_all_project_versions,carbon_defi,07_5000_10000,$5k–10k,1.9746747087741696,1.9746747087741772,7.549516567451064e-15,7.204275784919845,7.204275784919899,1.0000000000000075,True,ok
24m_primary_all_project_versions,carbon_defi,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317322,2.5091040356528538e-14,7.3711427999472265,7.371142799947411,1.000000000000025,True,ok
24m_primary_all_project_versions,carbon_defi,09_25000_50000,$25k–50k,1.8699601737307865,1.8699601737307536,-3.2862601528904634e-14,6.488037999793154,6.488037999792941,0.9999999999999671,True,ok
24m_primary_all_project_versions,carbon_defi,10_50000_100000,$50k–100k,1.613626568679092,1.6136265686790998,7.771561172376096e-15,5.020987204633078,5.020987204633117,1.0000000000000078,True,ok
24m_primary_all_project_versions,carbon_defi,11_100000_plus,≥$100k,1.7461015254186734,1.7461015254186603,-1.3100631690576847e-14,5.732212176502031,5.732212176501957,0.9999999999999869,True,ok
24m_primary_all_project_versions,clipper,02_100_250,$100–250,0.8273084816202131,0.827308481620213,-1.1102230246251565e-16,2.287154529987947,2.2871545299879465,0.9999999999999999,True,ok
24m_primary_all_project_versions,clipper,03_250_500,$250–500,1.205295906884678,1.2052959068846782,2.220446049250313e-16,3.337746594150325,3.337746594150326,1.0000000000000002,True,ok
24m_primary_all_project_versions,clipper,04_500_1000,$500–1k,1.460651348536876,1.4606513485368862,1.021405182655144e-14,4.30876512239444,4.308765122394484,1.0000000000000102,True,ok
24m_primary_all_project_versions,clipper,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6237987659614552,-1.3322676295501878e-15,5.072322329889904,5.072322329889897,0.9999999999999987,True,ok
24m_primary_all_project_versions,clipper,06_2500_5000,$2.5k–5k,1.820145693432597,1.820145693432594,-3.1086244689504383e-15,6.172757714633513,6.1727577146334935,0.9999999999999969,True,ok
24m_primary_all_project_versions,clipper,07_5000_10000,$5k–10k,1.9746747087741696,1.9746747087741907,2.1094237467877974e-14,7.204275784919845,7.2042757849199965,1.000000000000021,True,ok
24m_primary_all_project_versions,clipper,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317264,1.9317880628477724e-14,7.3711427999472265,7.371142799947369,1.0000000000000193,True,ok
24m_primary_all_project_versions,clipper,09_25000_50000,$25k–50k,1.8699601737307865,1.869960173730757,-2.9531932455029164e-14,6.488037999793154,6.4880379997929625,0.9999999999999705,True,ok
24m_primary_all_project_versions,clipper,10_50000_100000,$50k–100k,1.613626568679092,1.6136265686790785,-1.354472090042691e-14,5.020987204633078,5.020987204633011,0.9999999999999865,True,ok
24m_primary_all_project_versions,clipper,11_100000_plus,≥$100k,1.7461015254186734,1.746101525418662,-1.1324274851176597e-14,5.732212176502031,5.7322121765019665,0.9999999999999887,True,ok
24m_primary_all_project_versions,curve,02_100_250,$100–250,0.8273084816202131,0.8283318548904577,0.0010233732702445986,2.287154529987947,2.2894963408678044,1.001023897095344,True,ok
24m_primary_all_project_versions,curve,03_250_500,$250–500,1.205295906884678,1.2066805770467166,0.0013846701620385815,3.337746594150325,3.3423714734949623,1.0013856292603946,True,ok
24m_primary_all_project_versions,curve,04_500_1000,$500–1k,1.460651348536876,1.4623472784545364,0.0016959299176604326,4.30876512239444,4.316078685966388,1.001697368820114,True,ok
24m_primary_all_project_versions,curve,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6262667833699103,0.0024680174084537043,5.072322329889904,5.0848563704543315,1.0024710654704587,True,ok
24m_primary_all_project_versions,curve,06_2500_5000,$2.5k–5k,1.820145693432597,1.8212749028165862,0.0011292093839891937,6.172757714633513,6.1797319875360905,1.0011298471809518,True,ok
24m_primary_all_project_versions,curve,07_5000_10000,$5k–10k,1.9746747087741696,1.9736142520362872,-0.0010604567378824648,7.204275784919845,7.196640011541406,0.9989401053476573,True,ok
24m_primary_all_project_versions,curve,08_10000_25000,$10k–25k,1.997572755231707,1.9963139033890551,-0.0012588518426519535,7.3711427999472265,7.361869461355377,0.9987419401789481,True,ok
24m_primary_all_project_versions,curve,09_25000_50000,$25k–50k,1.8699601737307865,1.8503254429017164,-0.01963473082907008,6.488037999793154,6.361889617552243,0.9805567750612846,True,ok
24m_primary_all_project_versions,curve,10_50000_100000,$50k–100k,1.613626568679092,1.574916808503181,-0.03870976017591099,5.020987204633078,4.830339758200218,0.96202988801546,True,ok
24m_primary_all_project_versions,curve,11_100000_plus,≥$100k,1.7461015254186734,1.6854604549132701,-0.06064107050540324,5.732212176502031,5.394934484613917,0.9411609895965276,True,ok
24m_primary_all_project_versions,defiswap,02_100_250,$100–250,0.8273084816202131,0.826423183670715,-0.0008852979494980984,2.287154529987947,2.2851306127894238,0.9991150938111147,True,ok
24m_primary_all_project_versions,defiswap,03_250_500,$250–500,1.205295906884678,1.2035923502238783,-0.0017035566607996877,3.337746594150325,3.3320653942047564,0.998297893568216,True,ok
