window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status
30m,all_projects,06_2500_5000,overlap_exposure,,30,2.5173655925629204,0.45536645439554546,2.061999138167375,1.82149524550447,1.8215962115466817,29,1,0,-0.05047923727017006,6.120596127571217,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,07_5000_10000,equal_project,,30,1.4253612567363347,0.15184800159146006,1.2735132551448745,1.7950999362321338,1.7951026980018685,30,0,0,0.06787153399262494,3.3391924570632647,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,07_5000_10000,overlap_exposure,,30,2.571956308430927,0.41535138869499144,2.1566049197359347,1.7950999362321338,1.7951026980018685,29,1,0,-0.0960524393281574,6.795570985706377,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,08_10000_25000,equal_project,,30,1.1713470221935507,0.15090191901545544,1.0204451031780952,1.4991320101919394,1.4979376058152456,29,1,0,-0.015427132233464345,2.307418226847243,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,08_10000_25000,overlap_exposure,,30,2.3182414391977826,0.3711536273454708,1.9470878118523118,1.4991320101919394,1.4979376058152456,28,2,0,-0.13239489342888067,6.485439555280749,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,09_25000_50000,equal_project,,30,1.232577299135311,0.15270793629561724,1.0798693628396936,1.0690141164919849,1.065484946650879,28,2,0,-0.09465347224011474,4.991174358936107,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,09_25000_50000,overlap_exposure,,30,1.7627690820958266,0.3208023474799697,1.4419667346158564,1.0690141164919849,1.065484946650879,30,0,0,0.04768195071232538,5.559255057804005,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,10_50000_100000,equal_project,,30,1.2126337927775743,0.1604962954248999,1.0521374973526745,0.5985031391863508,0.592496717346312,27,3,0,-0.10889384041755433,4.018247573213036,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,10_50000_100000,overlap_exposure,,30,1.2233657807778615,0.31221810810493894,0.9111476726729226,0.5985031391863508,0.592496717346312,29,1,0,-0.056006645927682716,3.9290636522521702,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,11_100000_plus,equal_project,,30,1.9176298758946924,0.17539920474263884,1.7422306711520534,0.6935060124661266,0.6875484928126918,28,2,0,-0.18230762606903703,10.869546176763755,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,11_100000_plus,overlap_exposure,,30,1.2895450939331419,0.3358178520890976,0.9537272418440439,0.6935060124661266,0.6875484928126918,29,1,0,-0.09406619273557466,2.404037017400601,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,02_100_250,equal_project,uniswap,30,0.36061106765299417,0.15754417420685785,0.20306689344613632,0.3844486237953063,0.3844074288652761,30,0,0,0.004586112950260446,1.2236802689664383,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,uniswap,30,0.6493216362295989,0.26864828255834067,0.3806733536712583,0.3844486237953063,0.3844074288652761,29,1,0,-0.018931100549318278,1.4282660200286204,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,03_250_500,equal_project,uniswap,30,0.5106601392693801,0.15473329470109876,0.3559268445682814,0.6326055738669628,0.6325706618949934,28,2,0,-0.03519818435915979,0.8548155577287984,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,uniswap,30,0.9107535572005934,0.2654945771001339,0.6452589801004595,0.6326055738669628,0.6325706618949934,30,0,0,0.05324313904396375,1.4594963589930843,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,04_500_1000,equal_project,uniswap,30,0.7322652607770723,0.15060976840998433,0.5816554923670881,0.7107254699488538,0.7107219189321756,30,0,0,0.18147834369842136,1.00486553347378,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,uniswap,30,1.0186385004402054,0.25600178987904754,0.7626367105611578,0.7107254699488538,0.7107219189321756,29,1,0,-0.02751553330144728,1.7005928241623565,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,uniswap,30,0.916216356144626,0.18294249886988043,0.7332738572747456,0.657504111364248,0.6575481747662288,28,2,0,-0.5127311347841045,1.8412793044912328,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,uniswap,30,1.0188607119638289,0.24770839341516263,0.7711523185486662,0.657504111364248,0.6575481747662288,29,1,0,-0.04636787979695172,1.820678557505595,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,uniswap,30,1.197334419818903,0.13886306113481217,1.0584713586840906,0.6382735017262576,0.6393242465881177,29,1,0,-0.10543791516023386,4.855247858850158,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,uniswap,30,1.0309315743833367,0.2297647930144264,0.8011667813689106,0.6382735017262576,0.6393242465881177,30,0,0,0.010641142494444492,2.1547044720318467,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,uniswap,30,1.3701145898972298,0.14197175378657143,1.2281428361106583,0.5537945554005858,0.5545966757569267,30,0,0,0.07052087788084341,3.3986669071714735,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,uniswap,30,0.9887906492882261,0.208987698232932,0.7798029510552943,0.5537945554005858,0.5545966757569267,29,1,0,-0.017416919101578485,1.9305760452518343,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,uniswap,30,1.0639256436572444,0.140224020318772,0.9237016233384724,0.5223994624441913,0.521625128597491,29,1,0,-0.00033614921871320987,2.2172225894077924,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,uniswap,30,1.052508848093298,0.1721119973929545,0.8803968507003437,0.5223994624441913,0.521625128597491,29,1,0,-0.00824188548620465,2.309327529240564,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,uniswap,30,1.1493933478555192,0.13967454012270622,1.009718807732813,0.7143477427592457,0.7079296608850343,28,2,0,-0.11732037417353175,5.2405458127586195,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,uniswap,30,1.2419961992090223,0.13982905960922046,1.1021671395998014,0.7143477427592457,0.7079296608850343,30,0,0,0.030208844744528292,3.151419853563246,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,uniswap,30,1.1680361417737637,0.14491912910859556,1.023117012665168,0.669494852509047,0.6551200098451541,26,4,0,-0.12265320109274261,3.9705993038505096,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,uniswap,30,1.2464708464897203,0.18468019941059996,1.0617906470791199,0.669494852509047,0.6551200098451541,27,3,0,-0.46744167983705803,3.643719921558114,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,uniswap,30,1.9523827619502536,0.16201619542771717,1.7903665665225368,0.7826462858157988,0.7681673162647736,28,2,0,-0.22243354423120537,11.304744774709667,descriptive_sensitivity_not_a_hypothesis_test
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,uniswap,30,1.3099800099028451,0.241990004360662,1.0679900055421834,0.7826462858157988,0.7681673162647736,26,4,0,-0.751407037158417,3.131421041800463,descriptive_sensitivity_not_a_hypothesis_test
