project,candidate_trade_events,attacked_trade_events,candidate_trade_share,attack_share,relative_attack_concentration_ratio,attack_share_minus_candidate_share_pp,window,interpretation
sushiswap,5244862.0,51460,0.018197498754080412,0.01200541806897073,0.6597290227196067,-0.6192080685109682,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
verse_dex,147055.0,1173,0.0005102199408261447,0.0002736563426914626,0.5363497597690128,-0.023656359813468204,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
swapr,4077.0,23,1.4145501334522403e-05,5.365810641009071e-06,0.3793298317334073,-0.0008779690693513331,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
balancer,3313450.0,17842,0.01149629909170303,0.00416246928073408,0.3620703713022017,-0.733382981096895,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
fraxswap,227846.0,1212,0.0007905312477472629,0.0002827548911696954,0.3576770582762513,-0.05077763565775675,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
defiswap,570963.0,2578,0.0019810051210357896,0.0006014373840226689,0.3036021349143212,-0.13795677370131207,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
apeswap,712.0,2,2.4703450944763186e-06,4.665922296529627e-07,0.18887734782329035,-0.00020037528648233558,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
curve,9400557.0,25460,0.032616039143672775,0.0059397190834822155,0.18211037389665596,-2.6676320060190557,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
xchange,5679.0,15,1.9703777797094117e-05,3.49944172239722e-06,0.17760257745665972,-0.0016204336074696897,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
bancor,668540.0,782,0.002319556895310671,0.00018243756179430842,0.07865190207799302,-0.21371193335163627,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
kyberswap,111053.0,125,0.00038530791260797556,2.916201435331017e-05,0.07568496103785059,-0.03561458982546654,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
supernova,869871.0,829,0.0030180920753893393,0.00019340247919115303,0.06408104006111337,-0.28246895961981866,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
