source,outcome_or_sample,term_or_contrast,df,se,scale,alpha_uncorrected,mde_raw,mde_raw_pct,alpha_corrected,family_size,mde_corrected,mde_corrected_pct,target_power
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs fraxswap,pairwise log-odds contrast,23.0,1.0365197257468883,log_odds,0.05,3.0330507168243317,1976.0470396342348,0.0002631578947368421,190,5.351244145265459,20987.04882509739,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs kyberswap,pairwise log-odds contrast,23.0,1.2913312673803037,log_odds,0.05,3.7786769792183676,4275.811053233198,0.0002631578947368421,190,6.6667606148910945,78484.58195789061,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs maverick,pairwise log-odds contrast,23.0,1.0451911731537422,log_odds,0.05,3.058424994920497,2029.3992590287282,0.0002631578947368421,190,5.396012258224879,21952.526266308403,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs pancakeswap,pairwise log-odds contrast,23.0,0.965626022661383,log_odds,0.05,2.825602472839508,1587.1106308144506,0.0002631578947368421,190,4.985240967372114,14523.880956244122,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs shibaswap,pairwise log-odds contrast,23.0,0.9886069452247963,log_odds,0.05,2.892848953463907,1704.464479433246,0.0002631578947368421,190,5.103884659590949,16366.031577218811,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs solidly,pairwise log-odds contrast,23.0,1.02482680941738,log_odds,0.05,2.9988350551499465,1906.2152004103602,0.0002631578947368421,190,5.290877083746901,19751.746551683013,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs sushiswap,pairwise log-odds contrast,23.0,1.0167148885416057,log_odds,0.05,2.9750980564070035,1859.154423184717,0.0002631578947368421,190,5.248997640437644,18937.534823851736,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs swapr,pairwise log-odds contrast,23.0,1.0173058167004307,log_odds,0.05,2.976827222800267,1862.5450578133893,0.0002631578947368421,190,5.252048427385192,18995.702970801878,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs uniswap,pairwise log-odds contrast,23.0,1.0167965609284966,log_odds,0.05,2.9753370450971857,1859.62269488777,0.0002631578947368421,190,5.2494192907654895,18945.56369922159,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs verse_dex,pairwise log-odds contrast,23.0,1.0490170786419366,log_odds,0.05,3.0696203104511386,2053.3724992282705,0.0002631578947368421,190,5.415764274356831,22392.438394333552,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",apeswap vs xchange,pairwise log-odds contrast,23.0,1.2820595664663668,log_odds,0.05,3.7515462470145655,4158.688095376956,0.0002631578947368421,190,6.618893570974872,74811.57949557749,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs bancor,pairwise log-odds contrast,23.0,0.2227333267133532,log_odds,0.05,0.6517594016474819,91.8914001216511,0.0002631578947368421,190,1.1499061531814827,215.78965372399526,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs curve,pairwise log-odds contrast,23.0,0.10380410222871908,log_odds,0.05,0.3037502315233365,35.49305948722939,0.0002631578947368421,190,0.5359098148428437,70.90024109040478,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs defiswap,pairwise log-odds contrast,23.0,0.16033252200967604,log_odds,0.05,0.4691629678936294,59.86555070474425,0.0002631578947368421,190,0.827749292548859,128.81629549463094,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs dodo,pairwise log-odds contrast,23.0,0.28621674878676107,log_odds,0.05,0.8375237764522799,131.06382300839982,0.0002631578947368421,190,1.4776522464330608,338.264422439941,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs ekubo,pairwise log-odds contrast,23.0,0.11699339203012228,log_odds,0.05,0.34234456204389097,40.82454418558857,0.0002631578947368421,190,0.6040022091087713,82.94259133942273,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs fluid,pairwise log-odds contrast,23.0,0.2363569024007885,log_odds,0.05,0.6916245339532964,99.69570240631106,0.0002631578947368421,190,1.2202406367654173,238.80029135986175,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs fraxswap,pairwise log-odds contrast,23.0,0.16902962489961598,log_odds,0.05,0.49461231873509015,63.9862371889502,0.0002631578947368421,190,0.8726498571638032,139.32442138930844,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs kyberswap,pairwise log-odds contrast,23.0,0.626198355050251,log_odds,0.05,1.8323735887330102,524.8700916182587,0.0002631578947368421,190,3.2328765174468037,2435.2479032040737,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs maverick,pairwise log-odds contrast,23.0,0.1825696454835437,log_odds,0.05,0.5342329531695251,70.61390516612278,0.0002631578947368421,190,0.9425529705119907,156.65253250477076,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs pancakeswap,pairwise log-odds contrast,23.0,0.053659468673808365,log_odds,0.05,0.1570176484661038,17.00162627110565,0.0002631578947368421,190,0.2770279334258336,31.920322038560826,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs shibaswap,pairwise log-odds contrast,23.0,0.08147005771342693,log_odds,0.05,0.2383966371400926,26.921250982127056,0.0002631578947368421,190,0.4206057622678327,52.288378179883,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs solidly,pairwise log-odds contrast,23.0,0.1293908989985914,log_odds,0.05,0.37862198780195333,46.02709311744384,0.0002631578947368421,190,0.6680068632730747,95.03461375771587,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs sushiswap,pairwise log-odds contrast,23.0,0.08856072951950617,log_odds,0.05,0.2591452699639376,29.582203517592898,0.0002631578947368421,190,0.4572127993031761,57.96650000968357,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs swapr,pairwise log-odds contrast,23.0,0.3772688317359463,log_odds,0.05,1.1039592128433984,201.6083733458557,0.0002631578947368421,190,1.9477271651182395,601.2730674858261,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs uniswap,pairwise log-odds contrast,23.0,0.06746106486427111,log_odds,0.05,0.19740370208282504,21.82357457559876,0.0002631578947368421,190,0.34828148410603255,41.66309527204195,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs verse_dex,pairwise log-odds contrast,23.0,0.11894940596814148,log_odds,0.05,0.3480682249221373,41.6328875371091,0.0002631578947368421,190,0.6141005293566958,84.79936357525106,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",balancer vs xchange,pairwise log-odds contrast,23.0,0.6672921375364476,log_odds,0.05,1.9526216875687268,604.7138779514913,0.0002631578947368421,190,3.445031537244054,3034.4271943036033,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs curve,pairwise log-odds contrast,23.0,0.18527970138370434,log_odds,0.05,0.5421630839585878,71.97227465373304,0.0002631578947368421,190,0.956544185931096,160.268651334685,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs defiswap,pairwise log-odds contrast,23.0,0.22442495487592481,log_odds,0.05,0.656709422263241,92.84362132119234,0.0002631578947368421,190,1.1586395280281647,218.5596412061919,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs dodo,pairwise log-odds contrast,23.0,0.36844805725888397,log_odds,0.05,1.0781479757911354,193.92309802495095,0.0002631578947368421,190,1.9021881207521767,570.054000394056,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs ekubo,pairwise log-odds contrast,23.0,0.1972949098109777,log_odds,0.05,0.5773218326325462,78.12615204456982,0.0002631578947368421,190,1.0185751460310213,176.92461801438142,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs fluid,pairwise log-odds contrast,23.0,0.3275681510063888,log_odds,0.05,0.9585257188451834,160.78489354035335,0.0002631578947368421,190,1.69113728056191,442.56476813191694,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs fraxswap,pairwise log-odds contrast,23.0,0.2210039102279921,log_odds,0.05,0.646698805326623,90.92276820294468,0.0002631578947368421,190,1.1409776884237612,212.98268653070335,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs kyberswap,pairwise log-odds contrast,23.0,0.47031378253479583,log_odds,0.05,1.3762261535559666,295.99292286591304,0.0002631578947368421,190,2.42809066987458,1033.7214915722138,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs maverick,pairwise log-odds contrast,23.0,0.12985082608573287,log_odds,0.05,0.37996782054077183,46.22375346640014,0.0002631578947368421,190,0.6703813305129926,95.49826730597061,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs pancakeswap,pairwise log-odds contrast,23.0,0.22100062249530017,log_odds,0.05,0.6466891848054209,90.92093143524056,0.0002631578947368421,190,1.1409607148342753,212.97737413615133,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs shibaswap,pairwise log-odds contrast,23.0,0.1888152355525759,log_odds,0.05,0.5525087186618017,73.76067208835487,0.0002631578947368421,190,0.9747971010002493,165.0629346375267,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs solidly,pairwise log-odds contrast,23.0,0.17286644802006615,log_odds,0.05,0.5058395813011007,65.8377278685361,0.0002631578947368421,190,0.8924582377953763,144.11231427307212,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs sushiswap,pairwise log-odds contrast,23.0,0.16641417493909444,log_odds,0.05,0.48695902263224766,62.73599230862467,0.0002631578947368421,190,0.8591470641721979,136.114592863808,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs swapr,pairwise log-odds contrast,23.0,0.49214590722743395,log_odds,0.05,1.4401110365967493,322.1164494715694,0.0002631578947368421,190,2.540803459161828,1168.9862662400071,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs uniswap,pairwise log-odds contrast,23.0,0.20060199154766947,log_odds,0.05,0.5869989727611067,79.85827124126055,0.0002631578947368421,190,1.0356486289004712,181.69327871994173,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs verse_dex,pairwise log-odds contrast,23.0,0.19183979891270908,log_odds,0.05,0.561359157143252,75.30535570789955,0.0002631578947368421,190,0.990412025222974,169.23435573026046,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",bancor vs xchange,pairwise log-odds contrast,23.0,0.6377773170421818,log_odds,0.05,1.8662557986874817,546.4048334538305,0.0002631578947368421,190,3.29265526649369,2591.423332316956,0.8
"m11_h4 (grouped-binomial protocol incidence, CR1, month-clustered, 24m)",curve vs defiswap,pairwise log-odds contrast,23.0,0.15205310569073177,log_odds,0.05,0.444935846134836,56.0390087566254,0.0002631578947368421,190,0.7850051199080145,119.2418165683818,0.8
