protocol_version,trade_size_bin,candidate_trades,attacked_trades,trade_size
kyberswap::classic,06_2500_5000,1613,0,$2.5k–5k
kyberswap::classic,07_5000_10000,804,0,$5k–10k
kyberswap::classic,08_10000_25000,335,0,$10k–25k
kyberswap::classic,09_25000_50000,58,0,$25k–50k
kyberswap::classic,10_50000_100000,9,0,$50k–100k
kyberswap::classic,11_100000_plus,2,0,≥$100k
kyberswap::elastic,01_<100,898,0,<$100
kyberswap::elastic,02_100_250,23,0,$100–250
kyberswap::elastic,03_250_500,18,0,$250–500
kyberswap::elastic,04_500_1000,5,0,$500–1k
kyberswap::elastic,05_1000_2500,14,0,$1k–2.5k
kyberswap::elastic_2,01_<100,422,0,<$100
kyberswap::elastic_2,02_100_250,45,0,$100–250
kyberswap::elastic_2,03_250_500,59,0,$250–500
kyberswap::elastic_2,04_500_1000,10,0,$500–1k
mauve::1,01_<100,21,0,<$100
mauve::1,02_100_250,2,0,$100–250
mauve::1,06_2500_5000,1,0,$2.5k–5k
mauve::1,07_5000_10000,13,0,$5k–10k
mauve::1,08_10000_25000,188,0,$10k–25k
mauve::1,09_25000_50000,21,0,$25k–50k
mauve::1,10_50000_100000,7,0,$50k–100k
native::1,01_<100,49957,0,<$100
native::1,02_100_250,19469,0,$100–250
native::1,03_250_500,19106,0,$250–500
native::1,04_500_1000,22535,0,$500–1k
native::1,05_1000_2500,36569,0,$1k–2.5k
native::1,06_2500_5000,31677,0,$2.5k–5k
native::1,07_5000_10000,37029,0,$5k–10k
native::1,08_10000_25000,34715,0,$10k–25k
native::1,09_25000_50000,18635,0,$25k–50k
native::1,10_50000_100000,14275,0,$50k–100k
native::1,11_100000_plus,20253,0,≥$100k
origin_arm::1,01_<100,5847,0,<$100
origin_arm::1,02_100_250,1882,0,$100–250
origin_arm::1,03_250_500,1840,0,$250–500
origin_arm::1,04_500_1000,1997,0,$500–1k
origin_arm::1,05_1000_2500,3179,0,$1k–2.5k
origin_arm::1,06_2500_5000,3394,0,$2.5k–5k
origin_arm::1,07_5000_10000,2861,0,$5k–10k
origin_arm::1,08_10000_25000,3507,0,$10k–25k
origin_arm::1,09_25000_50000,2223,0,$25k–50k
origin_arm::1,10_50000_100000,1814,0,$50k–100k
origin_arm::1,11_100000_plus,4149,0,≥$100k
pancakeswap::2,09_25000_50000,66,0,$25k–50k
pancakeswap::2,10_50000_100000,89,0,$50k–100k
pancakeswap::mmpool,01_<100,1263,0,<$100
pancakeswap::mmpool,02_100_250,507,0,$100–250
pancakeswap::mmpool,03_250_500,368,0,$250–500
pancakeswap::mmpool,04_500_1000,397,0,$500–1k
pancakeswap::mmpool,05_1000_2500,476,0,$1k–2.5k
pancakeswap::mmpool,06_2500_5000,254,0,$2.5k–5k
pancakeswap::mmpool,07_5000_10000,227,0,$5k–10k
pancakeswap::mmpool,08_10000_25000,193,0,$10k–25k
pancakeswap::mmpool,09_25000_50000,134,0,$25k–50k
pancakeswap::mmpool,10_50000_100000,116,0,$50k–100k
pancakeswap::mmpool,11_100000_plus,93,0,≥$100k
pancakeswap::stableswap,01_<100,31,0,<$100
pancakeswap::stableswap,02_100_250,20,0,$100–250
pancakeswap::stableswap,03_250_500,65,0,$250–500
pancakeswap::stableswap,09_25000_50000,24,0,$25k–50k
pancakeswap::stableswap,10_50000_100000,47,0,$50k–100k
sushiswap::2,11_100000_plus,6,0,≥$100k
swaap::2,01_<100,13114,0,<$100
swaap::2,02_100_250,11624,0,$100–250
swaap::2,03_250_500,14066,0,$250–500
swaap::2,04_500_1000,18705,0,$500–1k
swaap::2,05_1000_2500,34489,0,$1k–2.5k
swaap::2,06_2500_5000,43417,0,$2.5k–5k
swaap::2,07_5000_10000,56970,0,$5k–10k
swaap::2,08_10000_25000,62113,0,$10k–25k
swaap::2,09_25000_50000,28056,0,$25k–50k
swaap::2,10_50000_100000,14336,0,$50k–100k
swaap::2,11_100000_plus,10815,0,≥$100k
swapr::1,03_250_500,18,0,$250–500
swapr::1,04_500_1000,4,0,$500–1k
swapr::1,05_1000_2500,1,0,$1k–2.5k
swapr::1,09_25000_50000,8,0,$25k–50k
swapr::1,10_50000_100000,1,0,$50k–100k
swapr::1,11_100000_plus,4,0,≥$100k
uniswap::1,10_50000_100000,742,0,$50k–100k
uniswap::1,11_100000_plus,64,0,≥$100k
valantis::hot,01_<100,269,0,<$100
valantis::hot,02_100_250,76,0,$100–250
valantis::hot,03_250_500,74,0,$250–500
valantis::hot,04_500_1000,183,0,$500–1k
valantis::hot,05_1000_2500,553,0,$1k–2.5k
valantis::hot,06_2500_5000,705,0,$2.5k–5k
valantis::hot,07_5000_10000,1045,0,$5k–10k
valantis::hot,08_10000_25000,1914,0,$10k–25k
valantis::hot,09_25000_50000,1212,0,$25k–50k
valantis::hot,10_50000_100000,1028,0,$50k–100k
valantis::hot,11_100000_plus,832,0,≥$100k
verse_dex::1,10_50000_100000,39,0,$50k–100k
verse_dex::1,11_100000_plus,67,0,≥$100k
xchange::1,02_100_250,151,0,$100–250
xchange::1,03_250_500,53,0,$250–500
xchange::1,04_500_1000,32,0,$500–1k
xchange::1,05_1000_2500,71,0,$1k–2.5k
xchange::1,06_2500_5000,13,0,$2.5k–5k
xchange::1,07_5000_10000,6,0,$5k–10k
xchange::1,08_10000_25000,14,0,$10k–25k
xchange::1,09_25000_50000,32,0,$25k–50k
xchange::1,10_50000_100000,12,0,$50k–100k
xchange::1,11_100000_plus,14,0,≥$100k
xchange::2,08_10000_25000,2,0,$10k–25k
