outcome,specification,hac_lag,term,estimate,std_error,ci_low,ci_high,p_value,percent_translation_type,percent_translation,percent_translation_ci_low,percent_translation_ci_high
log daily trade count,interrupted_time_series,14,S_dencun,0.0012555872365044574,0.002737239550096134,-0.004109303698742586,0.006620478171751501,0.6464455589362832,daily_growth_factor_percent_change,0.12563758161676777,-0.4100872063635357,0.6642441980916021
log daily trade count,interrupted_time_series,14,D_pectra,0.5107969668562733,0.0926580318606647,0.3291905615310057,0.6924033721815409,3.533478494941876e-08,level_percent_change,66.66189058348132,38.98426809031804,99.85129363569496
log daily trade count,interrupted_time_series,14,S_pectra,7.639278456824782e-05,0.0006306650655808096,-0.0011596880302777303,0.001312473599414226,0.9035876591717937,daily_growth_factor_percent_change,0.007639570257131918,-0.11590158519780974,0.13133352698207915
log daily trade count,interrupted_time_series,28,t,-0.004384078163302635,0.002255128258385854,-0.008804048330257445,3.5892003652175826e-05,0.05188963188820594,daily_growth_factor_percent_change,-0.4374482121019897,-0.8765406182353783,0.003589264777784521
log daily trade count,interrupted_time_series,28,D_dencun,0.6907921737276103,0.15054429218671547,0.3957307829635733,0.9858535644916473,4.461627448593733e-06,level_percent_change,99.52955280414048,48.54693500586483,168.0098545328347
log daily trade count,interrupted_time_series,28,S_dencun,0.0012555872365044574,0.002314441737014808,-0.00328063521236089,0.0057918096853698045,0.5874733355130034,daily_growth_factor_percent_change,0.12563758161676777,-0.32752598085156576,0.5808614643126251
log daily trade count,interrupted_time_series,28,D_pectra,0.5107969668562733,0.1080746281483964,0.2989745880428576,0.722619345669689,2.286076665638332e-06,level_percent_change,66.66189058348132,34.84753556395611,105.98215352394395
log daily trade count,interrupted_time_series,28,S_pectra,7.639278456824782e-05,0.0007252344567782716,-0.001345040631064635,0.0014978262002011307,0.9161097583522613,daily_growth_factor_percent_change,0.007639570257131918,-0.13441364693385474,0.1498948502131933
log daily unique bots,interrupted_time_series,7,t,-0.0027711473039900947,0.002036058945482078,-0.006761749507535568,0.0012194548995553794,0.17350265742349247,daily_growth_factor_percent_change,-0.276731121956969,-0.6738940318297673,0.12201987370094183
log daily unique bots,interrupted_time_series,7,D_dencun,0.48854935271581984,0.09994617306252741,0.2926584531206588,0.6844402523109809,1.0180106654154145e-06,level_percent_change,62.9950021538579,33.99850445549618,98.26617345538914
log daily unique bots,interrupted_time_series,7,S_dencun,0.0010719352633161182,0.0020334699547580938,-0.0029135926116540386,0.0050574631382862755,0.5980923036212803,daily_growth_factor_percent_change,0.10725099912591927,-0.2909352219958384,0.5070273692180262
log daily unique bots,interrupted_time_series,7,D_pectra,-0.07498437020107815,0.05044614268911841,-0.17385699303071878,0.02388825262856248,0.13716693743481817,level_percent_change,-7.224201311398463,-15.95829254360753,2.417586253517002
log daily unique bots,interrupted_time_series,7,S_pectra,0.00015653143714310655,0.00025938709960202316,-0.0003518579361311626,0.0006649208104173757,0.546198364053156,daily_growth_factor_percent_change,0.01565436888277632,-0.03517960413871519,0.06651419192633476
log daily unique bots,interrupted_time_series,14,t,-0.0027711473039900947,0.0018746658429789015,-0.0064454248392761615,0.0009031302312959722,0.13935193377622032,daily_growth_factor_percent_change,-0.276731121956969,-0.6424697644364372,0.09035381762031955
log daily unique bots,interrupted_time_series,14,D_dencun,0.48854935271581984,0.09691876895685678,0.29859205613442197,0.6785066492972177,4.6355921509639406e-07,level_percent_change,62.9950021538579,34.79596194373556,97.09322404053526
log daily unique bots,interrupted_time_series,14,S_dencun,0.0010719352633161182,0.001865646998957613,-0.0025846656625060386,0.0047285361891382756,0.565585602796261,daily_growth_factor_percent_change,0.10725099912591927,-0.25813282901623436,0.4739733358167344
log daily unique bots,interrupted_time_series,14,D_pectra,-0.07498437020107815,0.061769738202655175,-0.19605083241275018,0.04608209201059388,0.2247730220402755,level_percent_change,-7.224201311398463,-17.802954912501754,4.716037092883923
log daily unique bots,interrupted_time_series,14,S_pectra,0.00015653143714310655,0.00031421137032864763,-0.0004593115322340202,0.0007723744065202333,0.6183625235717627,daily_growth_factor_percent_change,0.01565436888277632,-0.04592060648402801,0.0772672764441887
log daily unique bots,interrupted_time_series,28,t,-0.0027711473039900947,0.0014371862958535285,-0.0055879806829375375,4.568607495734813e-05,0.053833309216562174,daily_growth_factor_percent_change,-0.276731121956969,-0.5572396959574709,0.004568711858196361
log daily unique bots,interrupted_time_series,28,D_dencun,0.48854935271581984,0.08396063191099482,0.32398953805104563,0.653109167380594,5.92748637291539e-09,level_percent_change,62.9950021538579,38.26328420095973,92.15058343704327
log daily unique bots,interrupted_time_series,28,S_dencun,0.0010719352633161182,0.0014327902503621255,-0.001736282024793775,0.003880152551426011,0.4543725325239256,daily_growth_factor_percent_change,0.10725099912591927,-0.17347755591681646,0.3887690089116119
log daily unique bots,interrupted_time_series,28,D_pectra,-0.07498437020107815,0.0733986555561951,-0.21884309160488127,0.06887435120272498,0.30696829863751607,level_percent_change,-7.224201311398463,-19.65522240353082,7.130159293466957
log daily unique bots,interrupted_time_series,28,S_pectra,0.00015653143714310655,0.00037971292869920455,-0.0005876922275715598,0.0009007551018577729,0.6801662632748824,daily_growth_factor_percent_change,0.01565436888277632,-0.05875195703191506,0.09011609035680415
