days_since_start,volume_millions,ma7,ci_upper,ci_lower
201,187.13993882955126,225.48133588326093,311.5669898141074,139.3956819524145
202,152.5469108162668,225.0759145649782,310.4278383275653,139.72399080239109
203,242.85474389058243,237.08870664916225,344.00977684888215,130.16763644944234
204,282.00384341692984,235.6716033257387,343.56121305696786,127.78199359450949
205,258.47325999085643,243.57746786382063,342.984169926857,144.17076580078427
206,311.6410592589729,245.89132579872734,336.1000790820999,155.6825725153548
207,215.0414670770112,246.74963539793674,336.9386999657935,156.56057083007997
208,242.48099059612483,229.5856427272996,332.6987086009763,126.47257685362287
209,168.7439163606136,219.77045618734945,323.12127873449384,116.41963364020505
210,248.86291108504852,217.09228292462777,310.19860589422035,123.98595995503516
211,161.85589472246969,244.211190603963,411.38473879469205,77.03764241323393
212,189.76695421120547,261.53655797664777,450.61374448338074,72.45937146991477
213,292.89384641992115,288.12344343875014,468.8011372486773,107.44574962882297
214,404.8738208323577,374.24515835598777,823.4523197915341,10.0
215,363.7585622049185,397.69675450424205,812.3405286507939,10.0
216,354.8521145953299,422.0096197330525,799.5149584890394,44.504280977065605
217,851.7149155057119,427.6341784234552,797.5684509766407,57.69990587026962
218,326.0170677602496,411.09504354339634,795.2584756632697,26.93161142352301
219,359.95701081287893,383.7022295740789,807.2383912857308,10.0
220,332.26575725273995,369.35303540403305,803.6692003051476,10.0
221,289.0998766719458,286.1525691288151,408.7936644015403,163.51147385608994
222,172.0088644196963,279.09419585614995,396.81578656231466,161.37260514998528
223,254.40775540500888,264.82708922975166,359.64702402580394,170.00715443369938
224,269.31165157918645,257.3213044750158,334.57750583465776,180.0651031153738
225,276.6084548515934,241.67367520314232,331.64859055085617,151.69875985542848
226,260.08726442809075,245.09446481402054,324.30321174271774,165.88571788532334
227,279.72526396958847,232.68441563066594,329.5322712092976,135.83656005203426
228,179.56647176883195,220.61842846665394,317.22628734468935,124.0105695886185
229,195.95439169584384,209.34911726609988,293.5652206327217,125.13301389947803
230,167.53741112152673,198.92459435715276,271.54367176105836,126.30551695324714
231,184.8497414311024,199.6564548758801,275.9322873501825,123.38062240157765
232,197.7232764477151,216.8296443402414,320.05824420204243,113.60104447844036
233,187.11560406546096,219.71342910755658,321.4000184027561,118.02683981235708
234,284.84828760067955,217.21843172488371,325.2668032024463,109.17006024732115
235,299.77879801936126,221.65212372500255,326.13493187921415,117.16931557079096
236,216.1408850670502,234.5877808662595,347.0235500595445,122.1520116729745
237,150.07242944281663,242.2802863077202,346.96888801625835,137.591684599182
238,215.88558543193398,224.28655357156217,337.4260671004165,111.14704004270783
239,288.272876436514,211.55689937327978,303.99093059498557,119.122868151574
240,240.96314215568574,196.07303565629044,315.88534773686087,76.26072357572002
241,158.8921584475735,197.59627849526194,315.02410867074724,80.16844831977666
242,210.6712186313843,184.33485166971718,312.18024075003893,56.48946258939546
243,107.75383904812506,169.71703225197254,261.7580482633661,77.67601624057897
244,160.73512931561706,161.72889803327254,233.04518417215255,90.41261189439254
245,123.05559765312061,159.06962610224878,232.170920710051,85.96833149444653
246,185.94814051230156,157.67224596510366,226.592204354421,88.75228757578631
247,185.0462026247856,165.81490518004793,219.5685028277567,112.06130753233916
248,140.27725493040714,157.6915389052925,228.64125474784663,86.74182306273838
249,200.8895576713685,164.83146828099058,229.54640309869842,100.11653346328274
250,164.75245355273518,158.28198435379628,222.32748970523141,94.23647900236114
251,103.87156539232902,161.50611836926356,233.30343862368647,89.70879811484066
252,173.03510328300698,174.94477304376895,261.28188671756845,88.60765936996941
253,140.10175302194153,177.8303283061625,269.2036053078298,86.45705130449525
254,207.6151407330566,176.07272782572068,269.01456152393087,83.13089412751049
255,234.3478376519449,176.4564528286325,268.074138367235,84.83876729003002
256,221.0884445081232,189.75025290290543,302.6150203780108,76.88548542780008
257,152.4492501896426,195.89131537663272,300.8656015543043,90.91702919896115
258,106.55764041271149,196.95351717090685,302.60183636118427,91.3051979806294
259,266.0917038029179,202.03858108569466,318.49197530836636,85.58518686302295
260,183.0891903380325,199.33905553385154,314.64905371905206,84.02905734865098
261,215.0505532929753,195.92089218155294,318.5882007586555,73.25358360445037
262,269.9432850554595,197.807272012572,314.5630653422955,81.05147868284853
263,202.1917656452215,186.51701931925922,287.26003219069145,85.77400644782698
264,128.5221067235524,180.97580810649885,286.54620917003655,75.40540704296116
265,119.76229922984528,170.4571255547171,274.8967252730423,66.0175258363919
266,187.05993494972836,161.6085433972251,233.17853751574245,90.03854927870778
267,144.30071184870985,158.9711830653559,224.92494602681717,93.0174201038946
268,141.41977543050274,160.79564196553252,223.57658795613787,98.01469597492718
269,208.00320995301573,162.67004258710932,220.5189767933703,104.82110838084833
270,183.7302433221368,186.90632536186664,343.2423903460045,30.570260377728772
271,141.29331902478893,218.21307319234802,415.29465693997275,21.131489444723286
272,132.88310358088282,238.57697680007564,428.24783996441454,48.90611363573677
273,356.71391437302935,248.27629920940836,437.60861857674763,58.9439798420691
274,363.44794666207974,258.74791149825586,439.6812525206757,77.81457047583606
275,283.9671006845962,255.7373796295117,445.8693868920227,65.60537236700068
276,275.8984668183446,264.4974259104981,433.5149290326565,95.47992278833974
277,257.03152934406944,239.5729669178345,396.63933063005766,82.5066032056113
278,120.21959594357995,216.90223443085435,332.30466420889377,101.49980465281494
279,194.2034275477876,201.7553375611371,303.64619645790594,99.86447866436828
280,182.24270142438408,203.90384372819523,313.14566075610196,94.66202670028851
281,204.75281925321852,193.76373294081472,293.11074835939627,94.41671752223317
282,177.9388225965753,205.84376038034176,282.2012513598282,129.48626940085535
283,290.9380099877517,198.7962156040162,287.68627275030366,109.90615845772872
284,186.05075383240592,207.75432472296396,301.18977817403925,114.31887127188867
285,204.77978802026925,210.40764005381033,304.47205193492755,116.3432281726931
286,144.87061411350868,217.4002357869499,307.5548725178063,127.24559905609354
287,244.94946525701832,196.63606693269244,274.32029323924087,118.951840626144
288,223.326026569143,189.93636432166727,278.6920508889633,101.18067775437126
289,226.88699272855226,176.52974480789803,281.06272235235576,71.99676726344029
290,145.58882800794953,173.0519807675432,283.68345023744916,62.42051129763725
291,139.15283555522967,177.1116441997974,300.8001365133329,53.42315188626192
292,110.9334514238846,167.9381704825898,285.24829533204866,50.62804563313097
293,120.52626583102503,161.80048852371596,269.185436506365,54.415540541066875
294,273.3671092827978,183.357875757845,327.91158907493093,38.804162440759086
295,159.11171054868984,198.04840207176997,342.54131398544416,53.55549015809581
