bot_address,total_volume_usd
0x13f1c719c7114ac47d3f6ce8597a8c55ec7983da,75040757.26762693
0x3ee92cd00993a4488ae153ab41ac7947cbcbc1de,73637577.8274278
0xd6cc66be4a0faac57ab7c6913d5477d1ec60ca42,72298386.23749015
0xc7bf1bf8d639db5ae9c52c905747795752dc967a,71146775.76476178
0x6fb9ea028eecddc6f4845194ab844131a71279fe,62851924.951238826
0x37f058af6d48e68b7b945072b1fccafd92cc1523,61283798.41728868
0xc0a740d545a87a62cc63523e2791feaecff5bcac,60357026.17467769
0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252,56366320.41777571
0xdc3bfcb3521cd02af66d394f817a0e6fe62ded95,55997170.203374036
0x1473c1488cdb643588d71b3b415ba06adc2f282e,51103027.47008081
0x3328d6119501cb5db268befc394c6975a16444bc,49692606.15341857
0x38b6d3a6acedc2d1de2c48d8cfed710fd58be5d6,48152139.515379235
0x8af9ca49688e52787f31742dc259002148efaa62,47405501.09701868
0x2f5abb45c283a7e6661c205d38215b10ee6fb064,47142795.5745018
0x3e0000de5060979f9b4e002e81ab000000b60093,46793989.09138669
0xf53b384bf1c30b79a510bbabebcd9ce6e78bbc21,46488074.30288277
0x058d142398d5adceed6b09849924c59c5980d676,44719172.022121
0x660000c7feae0027f565680000005c683400e700,44353924.719712704
0x000000000c1500d6cf5a65167f131a53c82c1033,44256688.95953003
0xfb2af1feb9518dcbdc343a602058df3c7265f0c5,43651545.160642006
0x887c840680ac0381d4204d404eacaa9d64e030cb,42558647.99150053
0x3c2b42d9b5f09d52b065c3ff829ad893144a4779,41782599.92503332
0x464111517a0ab2cd381690ae55474e4b9cb8e8aa,41403994.899467945
0xa2a6d470641d9fec016e561016a0dde0504e9fd6,38327567.53233339
0x215b0fe61418fc8dde78fd9eb3b75bf706e3a2ed,37636860.66297677
0xe44a2179edab1e638eac86079fe4ed850ca77b6c,36413214.64331811
0x1b27239c1fdfd7edb3d41b0658b072882b94c84b,35641946.17938916
0x1cdcec6630c99863fb1307c812691bc688f3e92e,34842404.378773466
0x41dd2ae109376a3b52d785667566c253d6d07a68,32177634.637431443
0x0000001d0000f38cc10d0028474a9c180058b091,31755308.749666795
0xb8b5382faf19c4264b0c8b5e826ab9d515612192,31346958.320625097
0x6e0064cb01008bcb00a91f00dc43e500a2ce00d6,30970201.142463196
0xbfbbe9d3aa05aa3092fb487399918415a69701f8,30903208.858270984
0x64545160d28fd0e309277c02d6d73b3923cc4bfa,30591370.219609268
0x58251c724fe13b536c75f2b4c8c155723e049cd0,29846979.190186422
0x5efc39c1d5b14abb4aec30fb5020ec61833ebe22,29185866.602951385
0xc62b5ce6fbf29ff95742264faa057b0910305994,28989324.538100168
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,27672812.633310817
0xfe263102682933297cb65dc813e5193249769251,27463952.569838893
0x33c1b770f81b0858cc4c73abb7e1ab216bb33c0e,26274611.533014473
0xa323f6472876f22d78dd5ae347fc460dc3e6d1a2,25406484.079141602
0x00f80000d3000095fe14f500c67b452d0004fa7b,24377224.631988768
0x62235f6d7f0dcb9c9a4ebd4e8f2c05fd7d0bf10f,24042973.994421918
0x7dd2838101c1db54257c9aa02e40d7c4f874ccbe,23394894.290845506
0xb58555fcba6479fced7de1485eb054943a09af7b,23047253.080117557
0x52b86a86e4d764e8275391c436127e60340a0e6a,20963975.78574745
0xc5798cd00276dbfdcd85bc751f5edace052e5cdd,20311856.63266554
0xd8349e874934593c85eafa8e534b495d80848e41,20282497.7650648
0x3009e2391d3898b868c1501f86273e8cd4895b53,19576364.64038454
0x99a58482bd75cbab83b27ec03ca68ff489b5788f,19436826.24989112
0x0000a42df58060230d7f1aefe47da338078244e8,17646279.204218023
0x57a8ba49f6dbcce6c562c4ef4eff1846dfa92d97,17321925.32546591
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,17286864.41901789
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,16442131.056455394
0x82cc41f5443c6b057c44083082a0567516f9aefa,16413647.201269
0xe80fdb59caec5980704166feb8bd4d33fe81e2bc,16040455.087711215
0x21e3a9aca55dc326db7446648787a8c6a6d3ad9f,15955872.631650288
0x168056465a6f16fb4ca3ae5ec831d9593325f662,15596913.565900233
0x14007e7c3985a7cb3bcf7106cca9975d06af1df0,15301661.748690564
0x01d37a36220d52108ae6d453fe6cd80af2906376,14647171.481076118
0x9bcb3df80ce6545b0878dca0a560663159c1467c,14064112.95950842
0x4c6745a4ced73f4152ae758388d1f8568882f802,13313613.719817068
0x8cc8c0cb623072cd9332e11fe29d03cfbbc8065d,13274705.539975585
0xa090fc409a9f25bf8e28257d42ef6904590c8984,13120649.152236989
0xcc2687c14915fd68226ccf388842515739a739bd,12489582.216488162
0xef125e93c6ff2eca258cb9047dcd8ec23cd2b103,12226387.670498693
0xe0554a476a092703abdb3ef35c80e0d76d32939f,12165380.422637723
0xde42c0f35d51a095a721d8df21efee107ddf712e,11900205.198886842
0x6ae44d4e7e6cdcedaa19f42c4162c88577b30db5,11763682.97114575
0x629392e7aa4d3bceb0bfe60bf171cac0a58f2783,11751144.65927028
0x41d3ab85aafed2ef9e644cb7d3bbca2fc4d8cac8,11711188.086092768
0x63390b9e426c5539de1dc841410331fa79081063,11549518.005834524
0x13f5b6aa7618fb53f6bbb1b2b05769db179f8515,11498700.862525977
0xf50024f746d94f144a79003d00000000e380a500,10833629.84069702
0xc54b77b28ee4d18cd3d93991f08b79bc85c71097,10697238.482133364
0x11b815efb8f581194ae79006d24e0d814b7697f6,10377975.04499377
0x091550c54ac920cba13299a543207ac27d927858,10045246.609176453
0x000000000005af2ddc1a93a03e9b7014064d3b8d,10026625.226218274
0xe9cbfec52ef797624ed941b0ed157607560f5167,9827132.459178004
0xe38a949e5561f5a012ca1b657c7c81ba4f3c73ba,9039855.287533028
0x6629e3620572bb212078103f8d3164578525962d,8892054.409059336
0x2ecd8f51fa432415fe8f385b8b369f13eff16fcb,8659615.247029401
0x3416cf6c708da44db2624d63ea0aaef7113527c6,8608247.002214452
0x01fdc48ba0903bb1ae7c517c9287d88ea236f8e1,8516789.768827045
0x2e564140e1609124cd7ac910cf74bbd4573886ba,8418038.594071157
0xe9235c60bc1130c3f08c35f4fad606b88478670e,8353470.495008358
0x0075006900ce0028c14700306f0000473ec07cc7,7944416.195220903
