victim_tier,pctile_in_tier,trades_in_bin,lower_edge_usd,upper_edge_usd,mean_usd,volume_usd,cutoff_p50,cutoff_p90
Retail,30,18769,198.0844820675553,201.04188829913707,199.47643943549252,3.743973291764759e+06,1001.8474213724877,8986.607999999998
Retail,31,18769,201.04254,208.63139999999999,204.7224932309095,3.8424364754509404e+06,1001.8474213724877,8986.607999999998
Retail,32,18769,208.63139999999999,217.29634933107482,212.78541149663124,3.993769388380272e+06,1001.8474213724877,8986.607999999998
Retail,33,18770,217.2963550240283,225.62207232307924,221.57073930393145,4.158882776734793e+06,1001.8474213724877,8986.607999999998
Retail,34,18769,225.6225886441674,233.059979597746,229.38894086690254,4.305401031130894e+06,1001.8474213724877,8986.607999999998
Retail,35,18769,233.06036623295157,240.45778367023215,236.81842000466082,4.444844925067479e+06,1001.8474213724877,8986.607999999998
Retail,36,18770,240.458,246.92384488001133,243.72554103798245,4.5747284052829305e+06,1001.8474213724877,8986.607999999998
Retail,37,18769,246.92399999999998,251.67461743965086,249.1968805052757,4.677176250203519e+06,1001.8474213724877,8986.607999999998
Retail,38,18769,251.67489175861428,258.1325604,254.76739321292618,4.781729203213411e+06,1001.8474213724877,8986.607999999998
Retail,39,18769,258.1328,264.4572543208884,261.3629133883551,4.905520521386037e+06,1001.8474213724877,8986.607999999998
Retail,40,18770,264.45735418926114,272.677742554408,268.3748077066913,5.037395140654596e+06,1001.8474213724877,8986.607999999998
Retail,41,18769,272.67892261442995,282.0269119346308,277.30624193002603,5.204760854784659e+06,1001.8474213724877,8986.607999999998
Retail,42,18769,282.027494442226,291.7101,287.1497048023191,5.389512809434727e+06,1001.8474213724877,8986.607999999998
Retail,43,18770,291.7101596205,298.247,295.3683231320442,5.54406342518847e+06,1001.8474213724877,8986.607999999998
Retail,44,18769,298.247,303.5884836624163,300.5532209221612,5.641083403488044e+06,1001.8474213724877,8986.607999999998
Retail,45,18769,303.5887558995843,311.977477281325,307.85698030641805,5.778167663371161e+06,1001.8474213724877,8986.607999999998
Retail,46,18769,311.97771,319.96855614237063,315.93123447497885,5.929713339860878e+06,1001.8474213724877,8986.607999999998
Retail,47,18770,319.96910426545384,329.41100000000006,324.71500579464725,6.094900658765529e+06,1001.8474213724877,8986.607999999998
Retail,48,18769,329.41158,338.4951580013025,334.03604946723823,6.269522612450594e+06,1001.8474213724877,8986.607999999998
Retail,49,18769,338.4951887113968,346.845,342.75081509984943,6.433090048609074e+06,1001.8474213724877,8986.607999999998
Retail,50,18770,346.8450028098616,354.96532036880023,350.5929457205432,6.580629591174596e+06,1001.8474213724877,8986.607999999998
Retail,51,18769,354.965898,365.36650000000003,360.0681266322777,6.75811866876122e+06,1001.8474213724877,8986.607999999998
Retail,52,18769,365.3666767444445,375.07526059076713,370.3304055092374,6.950731381002877e+06,1001.8474213724877,8986.607999999998
Retail,53,18769,375.07536000000005,383.71225884693723,379.25524396080175,7.1182416739002885e+06,1001.8474213724877,8986.607999999998
Retail,54,18770,383.71276706333833,394.119085,388.86266104170977,7.298952147752892e+06,1001.8474213724877,8986.607999999998
Retail,55,18769,394.119414,401.9226590718314,398.10398415812773,7.472013678663899e+06,1001.8474213724877,8986.607999999998
Retail,56,18769,401.9232604129401,414.45657,408.09955428417993,7.659620534359774e+06,1001.8474213724877,8986.607999999998
Retail,57,18769,414.4567355009055,427.30931290947404,420.8358190809063,7.89866748832953e+06,1001.8474213724877,8986.607999999998
