date,sandwich_trade_count,priced_trade_count,total_sandwich_volume_usd,unique_sandwich_bots,unique_transactions
2024-05-07,14326,14315,2.0741426184255266e+08,247,8959
2024-05-08,13689,13683,2.2565526496164975e+08,283,8617
2024-05-09,15473,15467,2.1542150495587862e+08,285,9320
2024-05-10,13197,13187,2.4103713550899088e+08,253,8400
2024-05-11,13888,13886,1.158913590912287e+08,233,8780
2024-05-12,18408,18388,1.0329422643022917e+08,272,10453
2024-05-13,20063,20061,1.996394897408409e+08,315,10876
2024-05-14,19350,19343,2.0098818853707376e+08,292,10646
2024-05-15,18439,18429,2.7187278251693445e+08,314,10522
2024-05-16,15905,15905,2.289940052143768e+08,302,9804
2024-05-17,16848,16848,2.5709121264588317e+08,287,10075
2024-05-18,19340,19336,1.7974265311403736e+08,258,10796
2024-05-19,22140,22127,1.8949079378797773e+08,340,11853
2024-05-20,20416,20414,3.417382842872997e+08,279,11128
2024-05-21,14961,14961,4.272740684287663e+08,330,9030
2024-05-22,18863,18861,2.4891112926684514e+08,276,10512
2024-05-23,18075,18073,4.0283448385874367e+08,289,10128
2024-05-24,19732,19716,2.457260491978929e+08,276,10973
2024-05-25,20032,20015,1.7905683950342506e+08,287,10941
2024-05-26,24269,24261,2.0275409306722867e+08,306,12257
2024-05-27,20305,20295,2.6928050108067924e+08,264,10708
2024-05-28,16689,16685,2.091653453558969e+08,258,9615
2024-05-29,18719,18711,2.2870632446420708e+08,257,10367
2024-05-30,16964,16959,2.0824115936015403e+08,241,9517
2024-05-31,20639,20630,2.2017677546570918e+08,260,10992
2024-06-01,26175,26175,1.9848750724030474e+08,257,12704
2024-06-02,26833,26827,1.8271767161197385e+08,254,12808
2024-06-03,20987,20981,2.2909224759364152e+08,292,10977
2024-06-04,21079,21079,2.9939466467897785e+08,244,10933
2024-06-05,20442,20442,2.4961274634643942e+08,229,10988
2024-06-06,18869,18869,2.036458597533739e+08,174,10435
2024-06-07,17774,17774,2.7624034410446393e+08,243,10011
2024-06-08,19754,19754,2.8513725231474185e+08,225,10997
2024-06-09,22191,22181,2.3346433680029875e+08,239,11731
2024-06-10,20577,20575,2.730392294107903e+08,272,11077
2024-06-11,19360,19360,3.73803250493154e+08,219,10592
2024-06-12,15300,15300,2.4083778551767007e+08,201,9068
2024-06-13,13536,13536,2.4681365911721054e+08,205,8561
2024-06-14,16895,16895,1.9568732244793123e+08,273,9968
2024-06-15,18719,18717,1.4237403757990146e+08,217,10686
2024-06-16,22947,22947,1.9958767692135936e+08,265,12190
2024-06-17,21018,21018,2.950978249242014e+08,281,11294
2024-06-18,17081,17079,2.521427764097204e+08,263,9791
2024-06-19,15141,15141,1.716301720046706e+08,220,9162
2024-06-20,15075,15069,1.2006655834227866e+08,171,9243
2024-06-21,14252,14252,1.404618446692144e+08,197,9105
2024-06-22,16432,16426,1.464060857036079e+08,169,9833
2024-06-23,20057,20051,9.300612147107106e+07,189,11279
2024-06-24,16040,16040,2.0438462698016143e+08,195,9623
2024-06-25,16253,16253,1.6518301262195268e+08,175,9554
2024-06-26,13181,13181,1.631819196212481e+08,176,8264
2024-06-27,12619,12607,2.92530610960518e+08,178,8249
2024-06-28,14478,14466,1.926506094026948e+08,187,8981
2024-06-29,17353,17349,1.1044511243164927e+08,210,10300
2024-06-30,19949,19949,1.4922353404005605e+08,185,11084
2024-07-01,18551,18549,1.5115882965582985e+08,174,10378
2024-07-02,21437,21435,1.9217666924346355e+08,197,11347
2024-07-03,19254,19254,2.286376795883174e+08,226,10260
2024-07-04,17281,17281,3.94713265863885e+08,216,9891
2024-07-05,13417,13415,3.8551521824153936e+08,214,8276
2024-07-06,20771,20769,1.477001897531399e+08,203,11667
2024-07-07,20248,20246,1.7793018341643348e+08,204,11371
2024-07-08,18826,18826,1.9229366264642683e+08,209,10724
2024-07-09,20988,20986,1.7082676673239717e+08,285,11421
2024-07-10,19743,19741,2.0159956022582427e+08,233,10900
2024-07-11,15301,15297,1.5662025648918185e+08,260,9281
2024-07-12,19443,19433,1.9565984916376454e+08,204,10924
2024-07-13,21621,21619,1.8042321450846952e+08,224,11623
2024-07-14,24930,24930,1.4829944051288792e+08,196,12389
2024-07-15,17010,17008,4.1941437504405284e+08,169,9797
2024-07-16,17426,17424,2.587395234176325e+08,182,9947
2024-07-17,20559,20559,2.6131119895839614e+08,134,11012
2024-07-18,18747,18747,2.2755151466968423e+08,121,10375
2024-07-19,17693,17691,2.249611903409766e+08,299,10094
2024-07-20,17123,17123,1.8713993882955194e+08,211,10351
2024-07-21,16640,16640,1.5254691081626633e+08,186,10032
2024-07-22,18603,18603,2.4285474389058354e+08,201,10598
2024-07-23,16342,16342,2.8200384341693044e+08,214,9884
2024-07-24,17906,17906,2.5847325999085674e+08,192,10304
2024-07-25,16712,16712,3.116410592589732e+08,198,10142
2024-07-26,19083,19079,2.150414670770121e+08,264,11088
2024-07-27,19407,19407,2.4248099059612432e+08,188,11236
2024-07-28,22006,22002,1.6874391636061352e+08,189,12355
2024-07-29,16260,16258,2.488629413948538e+08,200,10343
2024-07-30,14470,14468,1.6185589472246912e+08,193,9169
2024-07-31,14621,14621,1.8976695421120557e+08,164,9262
2024-08-01,17400,17400,2.928938464199215e+08,165,10249
2024-08-02,17018,17018,4.048738208323571e+08,215,10334
2024-08-03,16945,16943,3.6375856220491767e+08,242,10564
2024-08-04,16270,16268,3.548521145953288e+08,247,10199
2024-08-05,10497,10497,8.517149155057153e+08,260,7123
2024-08-06,16454,16454,3.2601706776025045e+08,231,10203
2024-08-07,16771,16767,3.599570108128804e+08,233,10775
2024-08-08,17508,17508,3.3226575725273883e+08,206,10846
2024-08-09,20344,20342,2.8909987667194486e+08,338,12085
2024-08-10,18617,18615,1.7200886441969633e+08,211,11773
2024-08-11,16685,16681,2.5440804990459362e+08,226,10516
2024-08-12,16219,16216,2.6931165157918686e+08,216,10532
2024-08-13,16432,16432,2.766084548515938e+08,211,10319
2024-08-14,15608,15608,2.6008726442809168e+08,178,10064
2024-08-15,13590,13590,2.797364059024865e+08,198,9090
2024-08-16,12012,12004,1.7956647176883104e+08,186,8479
2024-08-17,15608,15604,1.9595439169584394e+08,352,9922
2024-08-18,16538,16536,1.675374111215266e+08,218,10503
2024-08-19,14813,14811,1.8484974143110228e+08,235,9637
2024-08-20,13657,13657,1.9772298504710492e+08,214,9158
2024-08-21,11285,11285,1.8711560406546128e+08,196,8248
2024-08-22,13229,13223,2.848482876006787e+08,204,9198
2024-08-23,11443,11443,2.9977879801936114e+08,208,8243
2024-08-24,11960,11960,2.1614088506704983e+08,198,8552
2024-08-25,12410,12408,1.5007242944281608e+08,174,8977
2024-08-26,10280,10280,2.1588558543193358e+08,177,7621
2024-08-27,9857,9857,2.8827287643651474e+08,199,7315
2024-08-28,8632,8630,2.4096314215568578e+08,170,6563
2024-08-29,9186,9184,1.5889215844757366e+08,183,6983
2024-08-30,10225,10217,2.1067121863138527e+08,198,7562
2024-08-31,9172,9170,1.0775383904812558e+08,194,6986
2024-09-01,8669,8665,1.6073513043292457e+08,177,6811
2024-09-02,7732,7732,1.2305559765312046e+08,174,5941
2024-09-03,10776,10776,1.8594814051230085e+08,234,7574
2024-09-04,9968,9964,1.8504620262478572e+08,178,7113
2024-09-05,9691,9691,1.4027725493040752e+08,172,6963
2024-09-06,10387,10385,2.0088955767136744e+08,221,7379
2024-09-07,18799,18797,1.6475245355273443e+08,214,11399
2024-09-08,15407,15400,1.0387156539233004e+08,218,10070
2024-09-09,15771,15771,1.7303510328300676e+08,227,10069
2024-09-10,15044,15044,1.4010175302194235e+08,204,9458
2024-09-11,14233,14229,2.076151407330573e+08,210,9116
2024-09-12,14460,14460,2.3434783765194407e+08,360,9100
2024-09-13,14828,14825,2.2108844450812304e+08,203,9618
2024-09-14,16725,16717,1.5244925018964288e+08,210,10416
2024-09-15,15016,15016,1.0655764041271181e+08,198,9796
2024-09-16,16103,16101,2.6609170380291727e+08,233,10481
2024-09-17,15567,15565,1.8308919033803204e+08,226,9811
2024-09-18,17254,17254,2.1505055329297468e+08,356,10087
2024-09-19,16981,16979,2.6994328505545884e+08,228,10172
2024-09-20,17285,17282,2.0219176564522088e+08,271,10108
2024-09-21,19195,19195,1.2852210672355191e+08,178,10744
2024-09-22,20427,20422,1.1976229922984523e+08,220,10886
2024-09-23,14513,14509,1.8705993494972774e+08,205,8762
2024-09-24,14396,14392,1.4430071184871024e+08,193,8590
2024-09-25,12983,12983,1.4141977543050256e+08,169,8142
2024-09-26,12657,12657,2.0800319786735812e+08,151,7978
2024-09-27,11552,11546,1.837302433221361e+08,193,7665
2024-09-28,12496,12496,1.4129331902478892e+08,223,8195
2024-09-29,15974,15970,1.3288310358088318e+08,212,9549
2024-09-30,12496,12489,3.5671391437302905e+08,224,8062
2024-10-01,9551,9551,3.6344796868890035e+08,202,6704
2024-10-02,11576,11576,2.8396709155355877e+08,199,8028
2024-10-03,10956,10956,2.758984668183434e+08,217,7575
2024-10-04,12937,12937,2.5703152934406868e+08,216,8612
2024-10-05,16272,16263,1.2021959594357997e+08,266,9956
2024-10-06,17895,17885,1.942034275477881e+08,228,10593
2024-10-07,13600,13598,1.82242701424384e+08,195,8524
2024-10-08,16118,16118,2.0475281925321874e+08,237,9486
2024-10-09,15064,15062,1.77938822596576e+08,210,9071
2024-10-10,16881,16879,2.9093800998775035e+08,223,9876
2024-10-11,15067,15067,1.860507538324064e+08,180,8870
2024-10-12,16899,16897,2.0477978802026886e+08,229,9953
2024-10-13,16761,16755,1.4487061411350963e+08,232,9914
2024-10-14,11582,11582,2.4494956077058887e+08,252,7585
2024-10-15,10485,10485,2.233260265691434e+08,230,7063
2024-10-16,12511,12509,2.2688712371250585e+08,257,7895
2024-10-17,9670,9670,1.455888280079496e+08,191,6587
