bot_address,total_trades,priced_trades,total_volume_usd
0x53522fa4156dc18ec0fd5219d4d5a98c358aa6fb,26254,26254,1.2849918355496196e+08
0x6a50353e2b7f2f96a7c5680c51b9f32565b04195,1405,1401,1.2821331711656618e+08
0xa6ae57b1da8238cd149bc718c40578e4620b752c,320,320,1.2753302747894168e+08
0x60a0b09603e10d248fa7c980890d698c0f6dbcd1,2,2,1.1701291413726868e+08
0x58251c724fe13b536c75f2b4c8c155723e049cd0,81,81,1.1652125142996125e+08
0x335cf0e037fc5f73522d98be89d9816db4b59570,238,238,1.1563943623320952e+08
0x9fac12bc53085357e342cc2675372cafc6b8b5ad,38,38,9.357213029547837e+07
0x971ac48e6f904406edbc22687ed92bc8966fe551,214,214,9.336172031266508e+07
0xd6cc66be4a0faac57ab7c6913d5477d1ec60ca42,8751,8742,9.202128237417251e+07
0xb8feffac830c45b4cd210ecdaab9d11995d338ee,184,184,9.056676689279576e+07
0xc37fee6bc40aa524839cfcffdea1acf9a655c405,44,44,9.050864520201117e+07
0x93ffb15d1fa91e0c320d058f00ee97f9e3c50096,18831,18828,8.991334742419665e+07
0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,282,282,8.452615460790843e+07
0x0eb623c1297e594a83e6309fec8a96c1efe873e6,84,84,8.447323254680519e+07
0x232694077ba53be803110549c5e0b264337a5798,1026,1026,8.349157044951208e+07
0x7944e84d18803f926743fa56fb7a9bb9ba5f5f24,238,238,7.973981523277424e+07
0x7ad2e10bfc08b40ff0f9f664adeb77a6206860f6,326,326,7.793869480956362e+07
0x13f1c719c7114ac47d3f6ce8597a8c55ec7983da,286,286,7.504075726762691e+07
0xc7bf1bf8d639db5ae9c52c905747795752dc967a,194,194,7.12309414629792e+07
0xea35df26f76aae16bb7175695525d562efae138f,26,26,6.969684613203543e+07
0x3c2b42d9b5f09d52b065c3ff829ad893144a4779,232,232,6.583332544146353e+07
0x6fb9ea028eecddc6f4845194ab844131a71279fe,148,148,6.308434941018596e+07
0x37f058af6d48e68b7b945072b1fccafd92cc1523,136,136,6.128379841728873e+07
0xc0a740d545a87a62cc63523e2791feaecff5bcac,1856,1856,6.035702617467782e+07
0xdc3bfcb3521cd02af66d394f817a0e6fe62ded95,30397,30397,5.599717020337412e+07
0xe80fdb59caec5980704166feb8bd4d33fe81e2bc,4956,4952,5.127491879370015e+07
0x1473c1488cdb643588d71b3b415ba06adc2f282e,162,162,5.11030274700808e+07
0x38b6d3a6acedc2d1de2c48d8cfed710fd58be5d6,13668,13650,4.815213951537928e+07
0x8af9ca49688e52787f31742dc259002148efaa62,53030,53030,4.7405501097018644e+07
0x3e0000de5060979f9b4e002e81ab000000b60093,9632,9632,4.679398909138665e+07
0xf53b384bf1c30b79a510bbabebcd9ce6e78bbc21,300,300,4.648807430288277e+07
0x6e6759b3ef49bab693127c9ea126eb6e549bc3d3,22,22,4.648434053875945e+07
0x058d142398d5adceed6b09849924c59c5980d676,4288,4284,4.471917202212102e+07
0x660000c7feae0027f565680000005c683400e700,5475,5475,4.435392471971266e+07
0x000000000c1500d6cf5a65167f131a53c82c1033,7675,7667,4.4256688959530026e+07
0xfb2af1feb9518dcbdc343a602058df3c7265f0c5,4,4,4.3651545160642006e+07
0x887c840680ac0381d4204d404eacaa9d64e030cb,128,128,4.255864799150053e+07
0x464111517a0ab2cd381690ae55474e4b9cb8e8aa,156,156,4.140399489946794e+07
0x4fd5691b59387c8a8857cfb7ff21a8ab80d468a8,14,14,4.088696127862359e+07
0xa2a6d470641d9fec016e561016a0dde0504e9fd6,12,12,3.83275675323334e+07
0x215b0fe61418fc8dde78fd9eb3b75bf706e3a2ed,145,145,3.7636860662976764e+07
0x13f5b6aa7618fb53f6bbb1b2b05769db179f8515,4099,4099,3.725983852694195e+07
0xe44a2179edab1e638eac86079fe4ed850ca77b6c,46617,46583,3.6413214643318124e+07
0x1cdcec6630c99863fb1307c812691bc688f3e92e,80,80,3.4842404378773466e+07
0x41dd2ae109376a3b52d785667566c253d6d07a68,50,50,3.217763463743145e+07
0x0000001d0000f38cc10d0028474a9c180058b091,12446,12446,3.175530874966699e+07
0x6e0064cb01008bcb00a91f00dc43e500a2ce00d6,33059,33047,3.0970186531537406e+07
0xbfbbe9d3aa05aa3092fb487399918415a69701f8,52,52,3.0903208858270988e+07
0xae42c1c7a92dc474440092b592527b90673789bc,30,25,3.0762660954086777e+07
0x64545160d28fd0e309277c02d6d73b3923cc4bfa,538,538,3.0591370219609268e+07
0x5efc39c1d5b14abb4aec30fb5020ec61833ebe22,10,10,2.9185866602951385e+07
0xc62b5ce6fbf29ff95742264faa057b0910305994,86,86,2.898932453810017e+07
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,1543,1543,2.7806485232656263e+07
0xfe263102682933297cb65dc813e5193249769251,2039,2039,2.755870115092809e+07
0x33c1b770f81b0858cc4c73abb7e1ab216bb33c0e,767,767,2.627461153301446e+07
0x00f80000d3000095fe14f500c67b452d0004fa7b,2638,2638,2.4377224631988782e+07
0x62235f6d7f0dcb9c9a4ebd4e8f2c05fd7d0bf10f,258,258,2.404297399442191e+07
0x7dd2838101c1db54257c9aa02e40d7c4f874ccbe,54,54,2.3394894290845506e+07
0x52b86a86e4d764e8275391c436127e60340a0e6a,44,44,2.0963975785747454e+07
0x57a8ba49f6dbcce6c562c4ef4eff1846dfa92d97,2836,2836,2.0484561190305613e+07
0x3009e2391d3898b868c1501f86273e8cd4895b53,23234,23234,1.9576364640384495e+07
0x99a58482bd75cbab83b27ec03ca68ff489b5788f,84,84,1.9436826249891117e+07
0x2f5abb45c283a7e6661c205d38215b10ee6fb064,52,52,1.9019208971466754e+07
0x0000a42df58060230d7f1aefe47da338078244e8,2965,2965,1.7646279204218026e+07
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,39211,39211,1.7286864419017892e+07
0x3ee92cd00993a4488ae153ab41ac7947cbcbc1de,2749,2749,1.6816172674515456e+07
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,991,991,1.6475781477269717e+07
0x82cc41f5443c6b057c44083082a0567516f9aefa,641,641,1.6413647201268993e+07
0x21e3a9aca55dc326db7446648787a8c6a6d3ad9f,132,132,1.5955872631650291e+07
0x168056465a6f16fb4ca3ae5ec831d9593325f662,232,232,1.5596913565900248e+07
0x1103fc560de8b710983e7f3ec09d587f3f848566,722,722,1.545146374876439e+07
0xa323f6472876f22d78dd5ae347fc460dc3e6d1a2,377,369,1.5337445482390976e+07
0x14007e7c3985a7cb3bcf7106cca9975d06af1df0,92,92,1.5301661748690564e+07
0x01d37a36220d52108ae6d453fe6cd80af2906376,26430,26430,1.4647171481076136e+07
0xa689a13994748ff3cd0e700b0a7d5a7ddb3eedbb,1682,1682,1.4253800355774118e+07
0x9bcb3df80ce6545b0878dca0a560663159c1467c,50,50,1.406411295950842e+07
0x4c6745a4ced73f4152ae758388d1f8568882f802,18312,18304,1.3313613719817089e+07
0xa090fc409a9f25bf8e28257d42ef6904590c8984,66,66,1.3120649152236987e+07
0xf72d6a06ea0066dc9694156ca544f5d463a26bf4,4,4,1.2753272813067429e+07
0xb58555fcba6479fced7de1485eb054943a09af7b,64,64,1.2696980988186684e+07
0xcc2687c14915fd68226ccf388842515739a739bd,3442,3442,1.2489582216488171e+07
0xe0554a476a092703abdb3ef35c80e0d76d32939f,823,823,1.2412381669389237e+07
0xef125e93c6ff2eca258cb9047dcd8ec23cd2b103,7200,7169,1.2226387670498684e+07
0xde42c0f35d51a095a721d8df21efee107ddf712e,18,18,1.1900205198886843e+07
0x6ae44d4e7e6cdcedaa19f42c4162c88577b30db5,109,107,1.176368297114575e+07
0x629392e7aa4d3bceb0bfe60bf171cac0a58f2783,316,316,1.175114465927028e+07
